index,language,difficulty,success,cleanliness_score,comment_ratio,long_line_ratio,avg_line_length,indent_entropy,identifier_style_mix,title
46,cpp,hard,1,76.25,0.0,0.0,29.99,2.392,4,Button Input System Implementation
47,cpp,hard,0,76.94,0.0808,0.0101,39.46,1.998,4,Color Lookup Filter Implementation
48,cpp,easy,1,77.11,0.0143,0.0,28.99,2.281,4,Advanced Text Tokenizer Problem
49,cpp,medium,1,76.22,0.0806,0.0,38.92,2.391,4,Problem: String Analysis for Longest Unique Substrings
50,cpp,hard,1,80.05,0.1156,0.0136,39.56,2.026,4,Trend Analysis Calculator
51,cpp,hard,1,86.86,0.0896,0.0,28.97,1.656,3,Array Statistics Analyzer
52,cpp,hard,1,82.93,0.0862,0.0,36.67,1.835,3,Password Strength Analyzer and Modifier
53,cpp,hard,0,76.28,0.036,0.0,26.64,2.289,4,Minimum Spanning Tree (MST) Implementation
54,cpp,hard,1,82.92,0.0,0.0109,28.38,1.934,3,Process Management and Inter-Process Communication System
55,cpp,medium,1,77.92,0.041,0.0103,39.85,2.248,4,Multi-Cloud Computing (MCC) Message Handling System
56,cpp,medium,1,76.38,0.1053,0.0,36.23,2.325,4,Item-Based Collaborative Filtering System
57,cpp,hard,0,83.32,0.0661,0.0,28.45,1.905,4,Logger System Implementation
58,cpp,hard,1,77.73,0.0942,0.0145,34.62,1.548,4,Steering Behaviors Implementation
59,cpp,medium,1,79.66,0.0,0.0,32.31,2.204,4,Game Entity Management System
60,cpp,hard,1,79.41,0.0,0.0,27.08,2.08,4,Wave Generator Simulation
61,cpp,easy,1,87.63,0.1591,0.0,30.5,1.445,3,Character Analysis Problem
62,cpp,easy,1,80.12,0.0943,0.0,33.43,1.701,4,Binary Number Operations
63,cpp,hard,1,77.1,0.0,0.0,29.56,2.421,3,Problem: Tree Guess Analyzer
64,cpp,easy,1,85.25,0.1667,0.0,31.42,1.608,3,String Processing and Analysis
65,cpp,medium,0,83.84,0.202,0.0,31.48,1.975,3,Texture Management System
66,cpp,easy,0,75.01,0.0923,0.0154,36.49,2.302,4,Gaussian Blur Implementation
67,cpp,hard,0,82.84,0.1769,0.0,33.23,2.035,4,Robot Localization using Extended Kalman Filter
68,cpp,medium,0,77.6,0.1385,0.0154,34.83,1.99,4,Robot PID Controller Simulation
69,cpp,hard,0,78.17,0.0441,0.0,25.22,2.082,4,String Analysis and Processing Problem
70,cpp,hard,1,87.04,0.1333,0.0,38.24,1.644,3,Sequence Analysis Problem
71,cpp,hard,0,79.48,0.1594,0.0,30.51,2.227,4,Problem: Search in Rotated Sorted Array with Duplicates
72,cpp,medium,0,77.51,0.0423,0.0,30.73,1.935,4,Wizarding Money Calculator
73,cpp,hard,0,78.96,0.0159,0.0,27.68,2.75,3,Text Processing Statistics
74,cpp,hard,0,82.01,0.1613,0.0,38.21,2.23,3,Problem: String Pattern Analyzer
75,cpp,hard,0,76.14,0.0513,0.0256,35.54,1.726,3,String Matching and Similarity Problem
76,cpp,hard,0,82.71,0.0854,0.0,30.62,1.858,3,Position Operations in 2D Space
77,cpp,hard,0,82.79,0.0769,0.0,32.97,1.877,3,Permutation Statistics Generator
78,cpp,hard,0,77.85,0.0353,0.0,36.67,1.98,4,2D Platformer Physics Simulation
79,cpp,hard,0,84.38,0.0795,0.0,26.99,1.563,4,Smart Pointers and Resource Management Problem
80,cpp,hard,0,82.68,0.0439,0.0351,35.47,1.335,4,<problem_title>CUDA Device Capability Checker</problem_title>
81,cpp,medium,1,77.76,0.025,0.0083,37.51,1.659,3,3D Line Segment Operations Problem
82,cpp,hard,1,78.29,0.0303,0.0,43.06,2.53,4,Error Message Generator System
83,cpp,hard,0,77.51,0.099,0.0396,39.86,1.56,4,Physics Simulation Problem
84,cpp,medium,1,72.06,0.0488,0.0122,40.55,3.239,4,Grid Path Finder Problem
85,cpp,hard,0,76.36,0.0,0.0,31.99,2.071,4,RPG Equipment and Enchantment System
86,cpp,easy,1,86.58,0.1154,0.0,31.42,1.691,3,String Analysis Problem
87,cpp,easy,1,85.46,0.1333,0.0,31.33,1.878,4,Binary Search Operations on Sorted Vectors
88,cpp,hard,0,78.42,0.1006,0.0,35.74,2.478,4,Stepper Motor Controller Simulation
89,cpp,hard,0,85.51,0.1064,0.0,30.64,1.823,3,String Analysis Problem
90,cpp,medium,1,83.71,0.1216,0.0,26.27,1.895,4,Number Analysis Tool
91,cpp,medium,1,80.46,0.0323,0.0,32.93,2.159,3,Multi-Dimensional Range Counting Problem
92,cpp,hard,1,87.69,0.0943,0.0,29.55,1.388,3,Comprehensive Statistics Calculator
93,cpp,hard,0,81.2,0.1235,0.0,33.19,2.308,4,Game Collision System Implementation
94,cpp,medium,0,80.33,0.0891,0.0,28.5,1.776,4,Union-Find Data Structure Implementation
95,cpp,medium,0,84.71,0.1224,0.0,29.67,1.866,3,Problem: String Analysis Metrics
96,cpp,medium,1,79.88,0.141,0.0,33.05,1.777,4,3D Cone Modeling and Analysis
97,cpp,hard,0,81.54,0.202,0.0101,35.8,1.861,4,Progress Bar Visualization
98,cpp,hard,1,78.07,0.0053,0.0,31.53,2.074,4,Word Frequency Tracker using AVL Tree
99,cpp,hard,0,76.9,0.1013,0.019,31.77,2.122,4,Advanced Timer Implementation
100,cpp,easy,1,79.01,0.0417,0.0,36.9,2.099,4,Problem: Longest Common Substring Finder
101,cpp,medium,0,80.77,0.0431,0.0,33.85,2.731,3,Problem: Enhanced Virtual Machine Simulator
102,cpp,easy,1,76.98,0.0364,0.0,28.93,2.128,4,Alphabet Path Finder Problem
103,cpp,easy,1,76.26,0.0405,0.027,42.04,2.319,4,Atmospheric Calculations Problem
104,cpp,medium,1,80.64,0.1429,0.0476,39.62,1.663,3,String Analysis Problem
105,cpp,hard,1,81.76,0.0458,0.0,32.78,1.939,3,Rational Number Operations
106,cpp,medium,1,79.25,0.0577,0.0,30.25,2.127,3,Binary Tree Analysis Problem
107,cpp,hard,0,76.75,0.0118,0.0,34.39,2.469,3,Hotel Stay Planner in Weighted Graphs
108,cpp,hard,0,78.22,0.0,0.0,29.49,2.267,4,Game Character and World Simulation
109,cpp,hard,0,86.68,0.0588,0.0,35.86,1.372,3,<Problem Description>
110,cpp,medium,1,80.99,0.0538,0.0,30.13,2.153,4,Number Range Analyzer
111,cpp,hard,0,81.26,0.0387,0.0,31.65,1.887,4,3D Transformation and Camera Projection System
112,cpp,hard,0,81.2,0.0833,0.0,35.0,2.569,3,Constraint Satisfaction Problem Solver
113,cpp,hard,0,82.95,0.0,0.0096,30.62,1.684,3,Basketball Scoreboard System
114,cpp,hard,0,73.79,0.0603,0.0402,36.56,2.101,4,3D Camera System Implementation
115,cpp,hard,0,74.11,0.0541,0.0,37.02,2.483,4,Sphere Mesh Generator
116,cpp,easy,1,88.21,0.1538,0.0,39.42,1.445,3,String Analysis Problem
117,cpp,easy,1,82.02,0.1154,0.0,35.67,1.87,5,Bit Manipulation Analyzer
118,cpp,hard,1,80.64,0.0182,0.0,37.83,2.077,4,Armor Class Implementation
119,cpp,easy,1,85.02,0.0741,0.0,29.44,1.647,4,Time Class Implementation
120,cpp,hard,1,86.5,0.1684,0.0,31.35,1.716,3,Burrows-Wheeler Transform Implementation
121,cpp,hard,1,80.31,0.0777,0.0,31.69,1.78,4,Largest Independent Set in Binary Trees
122,cpp,hard,1,77.5,0.01,0.0,27.84,2.191,4,Friend Circles in Social Networks
123,cpp,hard,0,81.93,0.0886,0.0,33.73,2.362,3,Spatial Points Analysis Problem
124,cpp,easy,1,83.15,0.1111,0.0,34.8,2.075,3,Vector Mathematical Operations
125,cpp,hard,1,78.94,0.0272,0.0,32.95,1.955,4,Game Object Management System
126,cpp,hard,0,74.27,0.0,0.0282,26.55,1.812,4,Observer Pattern Implementation for News Distribution System
127,cpp,hard,1,88.31,0.12,0.0,31.07,1.389,3,Problem: Quaternion String Splitting
128,cpp,medium,1,86.06,0.1569,0.0,32.78,1.695,3,String Processing Function
129,cpp,medium,1,80.13,0.0508,0.0,29.03,1.894,3,Maximum and Minimum Subarray Problem
130,cpp,hard,0,65.59,0.0404,0.0909,46.39,2.353,3,Problem: Advanced Wall Height Construction
131,cpp,medium,0,80.69,0.1089,0.0,35.36,1.716,4,Quaternion Operations in 3D Space
132,cpp,hard,0,79.53,0.0966,0.0069,36.78,1.932,4,Terrain Model Generation
133,cpp,easy,1,79.5,0.029,0.0,27.87,1.859,3,Pattern Matching Problem
134,cpp,hard,1,83.76,0.1489,0.0,33.91,2.071,3,Stack Operations Processor
135,cpp,hard,0,69.24,0.0583,0.0667,43.19,2.086,3,Programming Problem: Symbol Resolver for Performance Maps
136,cpp,hard,0,76.86,0.0931,0.0121,40.81,3.082,4,Couple Matching and Happiness Calculation System
137,cpp,hard,0,78.65,0.0549,0.0,31.64,2.105,4,Binary Tree Spiral Traversal and Analysis
138,cpp,medium,1,79.83,0.0169,0.0,27.99,1.792,4,Problem: Graph Implementation and Algorithms
139,cpp,hard,0,81.15,0.1509,0.0,33.66,2.346,3,Name Greeting Generator
140,cpp,medium,1,81.7,0.1071,0.0,33.23,1.99,3,Flower Bloom Counter with Segment Tree
141,cpp,hard,0,79.51,0.1121,0.0,31.61,2.019,4,3D Player Movement Simulation
142,cpp,hard,1,81.95,0.1163,0.0,29.66,2.097,4,Ladder Game Problem
143,cpp,hard,0,83.65,0.0556,0.0,31.1,1.664,4,<problem_description>
144,cpp,hard,1,81.87,0.0625,0.0,32.33,2.156,3,String Pattern Matching Analyzer
145,cpp,hard,0,86.16,0.0984,0.0,31.02,1.517,4,GCD Calculator with Multiple Methods
146,cpp,hard,0,83.28,0.1545,0.0,36.68,1.737,4,Quaternion Rotation Operations
147,cpp,hard,0,80.21,0.0361,0.006,30.34,2.015,3,Planning System for Character Actions
148,cpp,hard,0,76.91,0.0638,0.0,34.32,2.099,4,Ghost Escape Analysis
149,cpp,hard,0,74.06,0.0255,0.0255,38.39,2.69,4,Number Game Solver Problem
150,cpp,hard,0,76.55,0.0697,0.0205,34.3,2.572,3,<problem_description>
151,cpp,hard,0,71.9,0.0037,0.0149,43.65,2.964,4,<problem_description>
152,cpp,hard,0,77.9,0.1017,0.0508,39.78,1.536,3,Pixel Color Manipulation
153,cpp,medium,1,81.27,0.0667,0.0,33.73,1.493,4,String Rotation Checker
154,cpp,hard,0,75.38,0.0526,0.0048,38.72,2.004,4,3D Affine Transformations Matrix Problem
155,cpp,hard,0,84.5,0.1127,0.0,34.83,1.974,3,Character Sorting System
156,cpp,hard,0,83.94,0.1273,0.0,38.18,1.987,3,Animal Consumption Analysis Problem
157,cpp,hard,1,78.01,0.0,0.0071,28.69,2.025,4,TrieMap Implementation Problem
158,cpp,hard,1,78.73,0.0152,0.0152,36.95,1.669,4,Binary Tree Lowest Common Ancestor (LCA) Finder
159,cpp,medium,1,75.07,0.0602,0.0,33.48,2.435,4,Longest Increasing Path in a Matrix
160,cpp,easy,1,87.19,0.0633,0.0,28.91,1.641,3,Series Generator and Analyzer
161,cpp,hard,0,88.19,0.1087,0.0,34.96,1.312,3,Binary Number Constraints Counter
162,cpp,hard,0,85.25,0.0634,0.0,32.95,1.638,4,Unit Sorting System
163,cpp,hard,0,80.49,0.061,0.0,32.72,1.91,3,2D Game Entity System Implementation
164,cpp,medium,0,83.63,0.0208,0.0,33.78,1.793,3,Benchmarking Utility Class Implementation
165,cpp,medium,1,75.5,0.04,0.0,39.99,2.309,4,2D Sprite Collision Detection System
166,cpp,hard,1,85.35,0.12,0.0,34.12,1.806,3,Ribbon Cutting Statistics Problem
167,cpp,hard,1,83.31,0.1552,0.0172,33.71,2.073,3,String Processing and Analysis
168,cpp,hard,1,80.29,0.0412,0.0,28.09,2.101,4,Student Classification and Ranking System
169,cpp,hard,1,79.85,0.0562,0.0,32.29,2.644,3,Problem: XOR Combination Solver
170,cpp,easy,0,81.41,0.0826,0.0275,35.15,1.968,3,Session Management System
171,cpp,medium,1,80.3,0.0842,0.0,31.04,2.42,4,Problem: Digit Analysis of Multiples
172,cpp,medium,1,78.42,0.0556,0.0,31.17,1.876,4,Binary Tree Analysis Problem
173,cpp,medium,1,77.4,0.0,0.0,30.7,2.7,4,Graph Analysis Problem
174,cpp,hard,1,78.73,0.0196,0.0,36.83,1.814,3,Segment Tree with Range Operations
175,cpp,hard,1,83.79,0.1,0.0,36.53,1.695,3,River-Water Pair Processing System
176,cpp,hard,0,74.9,0.0244,0.0,32.92,2.902,4,Player Movement Simulator Problem
177,cpp,hard,0,81.21,0.0333,0.0,37.42,2.204,3,Bridge Crossing Optimization Problem
178,cpp,easy,1,76.89,0.1216,0.0,40.97,2.102,3,Sierpinski Tetrahedron Generator and Surface Area Calculator
179,cpp,hard,0,82.01,0.021,0.0,32.24,2.034,4,Advanced Media Player System
180,cpp,easy,1,82.46,0.1233,0.0,31.0,1.562,4,Time Operations in C++
181,cpp,hard,0,81.34,0.1316,0.0,32.64,2.122,3,Palindrome Analysis Problem
182,cpp,hard,1,79.61,0.0753,0.0,32.27,2.219,4,String Analysis Utility
183,cpp,medium,1,81.0,0.1398,0.0,28.87,1.833,4,Adventure Game Inventory System
184,go,easy,1,100.5,0.1538,0.0,16.97,0.0,3,"Write a Go function that converts a given string into the shortest possible palindrome. A palindrome is a string that reads the same forwards and backwards. The given string may already be a palindrome or not. If it is a palindrome, return the original string directly; if not, make it the shortest palindrome by adding the minimum number of characters to the front of the string."
185,cpp,hard,1,81.44,0.0632,0.0,32.96,2.064,4,Big Integer Implementation
186,go,medium,1,85.53,0.3125,0.0,27.72,1.79,3,Write a Go function `ExecuteWithDefer` that takes two parameters:
187,go,medium,1,102.46,0.2143,0.0,16.69,0.0,2,"Implement a Go function `Divide(dividend int, divisor int) int` that performs division of two integers and returns the quotient. The function must handle the following cases:"
188,go,medium,1,98.01,0.2692,0.0,20.04,0.0,2,Write a Go function `FormatIP` that converts a 4-byte array into a dotted-decimal format IPv4 address string.
189,cpp,medium,1,81.95,0.134,0.0,39.56,1.832,4,2D Mesh Triangle Generator
190,go,hard,0,99.05,0.1786,0.0,16.86,0.0,2,"Write a Go function `SearchInsert` that takes a sorted integer array `nums` and a target value `target`, and returns the index of the target in the array. If the target does not exist in the array, return the index where it should be inserted to maintain the array's sorted order."
191,go,medium,1,98.5,0.2143,0.0,20.6,0.0,3,Write a Go function `RaceConditionSimulator` that simulates a simple race condition scenario. The function takes an integer parameter `iterations` representing the number of iterations and returns two values: a string describing the detected race condition state and an integer representing the final computation result.
192,go,hard,0,97.24,0.1818,0.0,22.18,0.0,3,Write a Go function to check if a given path exists.
193,go,hard,0,96.09,0.1429,0.0,21.74,0.0,3,Implement a message signing and verification system based on HMAC-SHA256. Write a program in Go that includes the following functionalities:
194,go,hard,1,97.76,0.1628,0.0,26.74,0.0,3,Please implement the following two functions in Go:
195,go,easy,0,101.13,0.1481,0.0,14.2,0.0,3,Write a Go function `MinIncrementForUnique` that takes an integer array as input and returns the minimum number of increment operations required to make all elements in the array unique.
196,go,hard,0,104.27,0.4,0.0,25.03,0.0,3,Write a Go function to convert time between different time zones.
197,go,hard,0,91.05,0.0816,0.0204,26.14,0.0,4,Write a Go function `ValidateAddress` to verify whether a given string is a valid Bitcoin address.
198,go,medium,0,99.66,0.303,0.0,20.55,0.0,4,"Write a Go function `GetLastUsableIP` that takes a CIDR-formatted IP address string as input and returns the last usable IP address within that network range (i.e., the address preceding the broadcast address). The function must support both IPv4 and IPv6 addresses."
199,go,hard,0,100.69,0.1667,0.0,19.31,0.0,3,Write a Go function `EvaluateString` that handles placeholder substitution in strings. The specific requirements are as follows:
200,go,hard,0,100.67,0.2903,0.0,22.81,0.0,3,Write a Go function `AuthMiddleware` to handle authorization token validation. The function needs to check the incoming authorization string and return the corresponding user information or an error message.
201,cpp,hard,0,79.62,0.0606,0.0,31.42,2.22,4,Wiggle Sequence Analysis
202,go,easy,0,102.08,0.1522,0.0,23.3,0.0,3,Implement a simple directed graph data structure using Go. The data structure should support the following functionalities:
203,go,hard,0,102.63,0.2979,0.0213,24.09,0.0,3,"Implement a Go template processor capable of loading and executing text templates, with support for custom template functions."
204,go,hard,0,100.87,0.1538,0.0,21.88,0.0,3,Please implement a network endpoint parser in Go language. This parser should be able to extract address and port information from a string and provide comparison functionality.
205,go,hard,0,98.06,0.1474,0.0,16.51,0.0,3,Implement an LRU (Least Recently Used) cache data structure using the Go language. The cache should support the following operations:
206,go,hard,0,96.12,0.0952,0.0,18.59,0.0,3,Implement a thread-safe key-value registry system using the Go programming language.
207,go,medium,0,100.72,0.1875,0.0,16.19,0.0,2,Please implement a heap sort algorithm in Go that can sort integers. The specific requirements are as follows:
208,go,hard,1,99.72,0.1489,0.0,20.04,0.0,3,"Implement a management system for deuterium storage tanks, which requires writing a Go program to simulate the upgrade cost and capacity calculation of deuterium storage tanks."
209,go,hard,0,98.94,0.1552,0.0,22.74,0.0,4,"Implement a subtitle management system capable of filtering and grouping a collection of subtitles. Each subtitle contains three fields: Version, Language, and Link."
210,go,hard,0,93.52,0.2115,0.0192,25.31,0.0,4,Write a Go function `IsPositiveDefinite` to determine whether a given real matrix is positive definite. A positive definite matrix is defined as a symmetric matrix where all eigenvalues are positive real numbers.
211,go,hard,0,97.72,0.1096,0.0,23.68,0.0,2,Write a Go function to load and parse a font data file. Implement a function named `LoadFontData` that takes a font filename as input and returns a `FontData` struct or an error.
212,go,medium,0,97.12,0.0822,0.0137,25.6,0.0,4,Write a Go function `GitBranchManager` that generates corresponding Git commands based on different Git branch operations. The function needs to handle the following operations:
213,go,hard,0,102.16,0.1831,0.0,23.32,0.0,3,Write a Go function to parse an RSS feed and return a list of articles.
214,go,easy,1,98.96,0.1268,0.0,20.59,0.0,3,"Implement a simple grid game logic, requiring the implementation of two functions in Go:"
215,go,hard,0,100.39,0.4222,0.0222,20.33,0.0,3,"Write a Go function `CalculatePagination` to compute pagination information. The function should take three parameters: the current page number, the number of items per page, and the total number of items. It should return five values:"
216,go,hard,1,102.14,0.127,0.0,22.97,0.0,2,"Implement a stack data structure and its operations, requiring the following functionalities to be completed in Go:"
217,go,hard,0,98.76,0.1852,0.0,23.26,0.0,2,Implement a Go language template renderer that can generate rendered text based on given data and template strings. The specific requirements are as follows:
218,go,medium,1,79.77,0.1045,0.0,24.36,2.442,4,Write a Go function to find the longest substring in a given string where each character in the substring must appear at least k times.
219,go,hard,1,103.08,0.3226,0.0,17.13,0.0,3,Write a Go function `MaskToString` that converts an 8-bit unsigned integer into a binary string representation of a specified length.
220,go,hard,0,101.02,0.1143,0.0,22.33,0.0,3,"Implement a log level manager in Go. The manager should be capable of setting and retrieving log levels, determining whether a log message of a certain level should be recorded, and converting between log levels and their string representations."
221,go,hard,0,99.2,0.1591,0.0,27.2,0.0,2,"Please implement a byte conversion tool `ByteConverter` in Go language, which should include the following functionalities:"
222,go,easy,0,94.97,0.1571,0.0,21.6,0.0,2,Implement a builder pattern system for creating components of different creatures.
223,go,hard,0,95.93,0.0784,0.0,22.73,0.0,3,Please implement a time iterator in Go that can generate subsequent time sequences based on a given start time and interval type.
224,go,hard,0,103.27,0.2449,0.0,23.08,0.0,3,Write a Go function to register a Grafana dashboard to Consul storage. The function must meet the following requirements:
225,go,hard,0,97.84,0.2121,0.0,26.48,0.0,4,"Write a Go function `RemoveLinesFromFile` that removes all lines containing a specific substring from a given text file. The function should modify the original file directly, rather than creating a new file."
226,go,easy,1,103.07,0.2553,0.0,24.79,0.0,3,Please implement a function `MapToStruct` in Go that maps an input of type `map[string]interface{}` to a struct pointer. The specific requirements are as follows:
227,go,hard,0,100.43,0.1224,0.0,17.24,0.0,4,"Implement the basic logic of a Tic-Tac-Toe game. Write the code in Go language, which should include the following functionalities:"
228,go,easy,1,96.77,0.125,0.0,18.8,0.0,4,"Write a Go function `ConcurrencyManager` that takes a list of operation functions and a timeout duration, executes all operations concurrently, and waits for their completion within the timeout period."
229,go,hard,0,93.8,0.1163,0.0465,26.84,0.0,3,Implement a struct representing a neural network node with the following functionalities:
230,go,hard,0,97.55,0.0909,0.013,26.87,0.0,3,Implement an HTTP Digest Authentication generator. You need to create a Go program that fulfills the following requirements:
231,go,easy,0,98.54,0.1636,0.0,19.75,0.0,3,"Write a Go function `ConstrainedSubsetSum` that takes an integer array `nums` and an integer `k`, and returns an integer."
232,go,easy,1,96.0,0.425,0.0,23.38,0.0,4,Write a Go function to perform bitwise operations on an 8-bit unsigned integer. The function should be named `BitOperations` and take two parameters: a `uint8` number and a `uint8` bit position (0-7). The function should return a map containing the results of various bitwise operations and an error message string.
233,go,hard,0,97.21,0.0926,0.0185,29.06,0.0,4,Please implement a function named `SliceAnalyzer` in Go that performs a series of operations on an integer slice and returns information about the modified slice.
234,go,easy,1,96.78,0.1591,0.0,17.95,0.0,2,Implement an iterator for a Binary Search Tree (BST) that accesses nodes in the order of in-order traversal.
235,go,medium,1,96.62,0.1842,0.0,28.79,0.0,3,Write a Go function `ValidateChainPropertiesUpdate` to validate the legality of a blockchain properties update operation. The function takes a parameter of type `VersionedChainPropertiesUpdateOperation` and returns a boolean value (indicating whether the validation passed) and a string (containing the validation result message).
236,go,easy,1,101.17,0.1754,0.0,19.68,0.0,2,Implement an LRU (Least Recently Used) cache mechanism using Go. The cache should support the following operations:
237,go,hard,1,91.87,0.2593,0.037,23.44,0.0,4,Write a Go function `DeepCopyMap` that implements the following functionality:
238,go,medium,1,96.73,0.0833,0.0,18.72,0.0,4,Write a Go program that implements a boolean processor capable of converting various types of inputs into their corresponding boolean values.
239,go,hard,0,98.42,0.0984,0.0,26.89,0.0,3,Implement an RSA Encryption Tool
240,go,hard,0,100.3,0.3684,0.0,21.47,0.0,2,Write a Go function `GenerateIdentifier` that generates a unique identifier based on a given seed string and a specified length. The identifier should be derived from the SHA-256 hash of the seed string and return the corresponding byte slice (truncated or extended) according to the requested length.
241,go,easy,1,87.19,0.1111,0.0,21.4,1.855,3,Write a Go function to count the occurrences of a specific number in a sorted integer array.
242,go,hard,0,98.73,0.1642,0.0,22.84,0.0,4,Implement a Go function to simulate the handshake process of the SOCKS5 protocol.
243,go,easy,1,103.14,0.3913,0.0,20.26,0.0,3,Write a Go function `HexToBase64` that converts a hexadecimal string to a Base64 encoded string.
244,go,hard,0,99.66,0.2174,0.0,19.43,0.0,3,Write a Go function `ParseURL` that parses a URL string and breaks it down into its components. The function should accept a string as input and return a map containing the parts of the URL along with a possible error.
245,go,medium,1,99.5,0.1887,0.0189,22.83,0.0,2,Write a Go function `LoadDocument` that accepts variadic arguments and returns a `DocumentConfig` struct or an error. The function should configure document loading settings based on the input parameters.
246,go,medium,1,99.33,0.1835,0.0,26.2,0.0,3,Implement a simplified Raft consensus algorithm node that must fulfill the following two core functions:
247,go,hard,0,98.73,0.1935,0.0,28.26,0.0,3,Implement an event handler system using the Go language.
248,go,medium,1,104.27,0.4,0.0,15.12,0.0,2,Please implement an insertion sort algorithm in Go language. Write a function named `InsertionSort` that takes an integer slice as input and returns a new slice sorted in ascending order.
249,go,hard,1,100.42,0.2368,0.0,19.24,0.0,2,Write a Go function `Multiply` that performs multiplication of two non-negative integer strings and returns their product as a string.
250,go,medium,1,100.06,0.1481,0.0,19.07,0.0,2,Please implement the following two functions in Go:
251,go,hard,0,100.55,0.1364,0.0,23.53,0.0,3,Please implement a state machine function for the Raft consensus algorithm in Go. This function should return a new state and corresponding actions based on the current state and received events.
