index,language,difficulty,success,control_flow_score,pattern_signal_count,dispatch_count,imperative_branch_count,title
38,cpp,easy,1,5.4,0,5,4,Graphics Effects Simulation System
39,cpp,hard,1,-1.6,0,0,4,<problem_description>
40,cpp,hard,0,-4.2,0,1,14,<problem_description>
41,cpp,hard,0,-5.6,0,0,14,2D Collision Detection System
42,cpp,easy,1,-2.0,0,0,5,Bit Manipulation Operations
43,cpp,medium,1,-2.2,0,1,9,Digit Analysis Problem
44,cpp,medium,1,-2.4,0,2,13,Database Connection Manager Problem
45,cpp,hard,0,-8.2,0,1,24,Binary Number Converter
46,cpp,hard,1,0.4,0,4,13,Button Input System Implementation
47,cpp,hard,0,-0.8,0,2,9,Color Lookup Filter Implementation
48,cpp,easy,1,-3.2,0,0,8,Advanced Text Tokenizer Problem
49,cpp,medium,1,-4.8,0,0,12,Problem: String Analysis for Longest Unique Substrings
50,cpp,hard,1,-12.6,0,1,35,Trend Analysis Calculator
51,cpp,hard,1,-2.0,0,2,12,Array Statistics Analyzer
52,cpp,hard,1,-0.8,0,4,16,Password Strength Analyzer and Modifier
53,cpp,hard,0,-9.2,0,0,23,Minimum Spanning Tree (MST) Implementation
54,cpp,hard,1,-4.8,0,0,12,Process Management and Inter-Process Communication System
55,cpp,medium,1,22.8,0,18,6,Multi-Cloud Computing (MCC) Message Handling System
56,cpp,medium,1,-6.6,0,1,20,Item-Based Collaborative Filtering System
57,cpp,hard,0,-2.0,0,0,5,Logger System Implementation
58,cpp,hard,1,3.6,0,4,5,Steering Behaviors Implementation
59,cpp,medium,1,-3.4,0,1,12,Game Entity Management System
60,cpp,hard,1,-6.8,0,0,17,Wave Generator Simulation
61,cpp,easy,1,-6.0,0,0,15,Character Analysis Problem
62,cpp,easy,1,-1.8,0,1,8,Binary Number Operations
63,cpp,hard,1,-4.0,0,0,10,Problem: Tree Guess Analyzer
64,cpp,easy,1,-0.0,0,2,7,String Processing and Analysis
65,cpp,medium,0,0.8,0,2,5,Texture Management System
66,cpp,easy,0,-4.4,0,0,11,Gaussian Blur Implementation
67,cpp,hard,0,-4.8,0,2,19,Robot Localization using Extended Kalman Filter
68,cpp,medium,0,-1.2,0,0,3,Robot PID Controller Simulation
69,cpp,hard,0,-7.2,0,0,18,String Analysis and Processing Problem
70,cpp,hard,1,-1.2,0,0,3,Sequence Analysis Problem
71,cpp,hard,0,-4.4,0,2,18,Problem: Search in Rotated Sorted Array with Duplicates
72,cpp,medium,0,-2.0,0,0,5,Wizarding Money Calculator
73,cpp,hard,0,-4.4,0,0,11,Text Processing Statistics
74,cpp,hard,0,-6.4,0,0,16,Problem: String Pattern Analyzer
75,cpp,hard,0,-1.8,0,1,8,String Matching and Similarity Problem
76,cpp,hard,0,-3.6,0,0,9,Position Operations in 2D Space
77,cpp,hard,0,-4.4,0,0,11,Permutation Statistics Generator
78,cpp,hard,0,-0.6,0,1,5,2D Platformer Physics Simulation
79,cpp,hard,0,6.8,0,6,4,Smart Pointers and Resource Management Problem
80,cpp,hard,0,-3.6,0,0,9,<problem_title>CUDA Device Capability Checker</problem_title>
81,cpp,medium,1,-3.4,0,1,12,3D Line Segment Operations Problem
82,cpp,hard,1,-4.0,0,0,10,Error Message Generator System
83,cpp,hard,0,-0.2,0,1,4,Physics Simulation Problem
84,cpp,medium,1,-8.0,0,2,27,Grid Path Finder Problem
85,cpp,hard,0,-1.6,0,2,11,RPG Equipment and Enchantment System
86,cpp,easy,1,-3.0,0,1,11,String Analysis Problem
87,cpp,easy,1,-5.0,0,1,16,Binary Search Operations on Sorted Vectors
88,cpp,hard,0,-6.0,0,2,22,Stepper Motor Controller Simulation
89,cpp,hard,0,-2.4,0,2,13,String Analysis Problem
90,cpp,medium,1,-6.8,0,0,17,Number Analysis Tool
91,cpp,medium,1,-7.6,0,0,19,Multi-Dimensional Range Counting Problem
92,cpp,hard,1,-3.2,0,0,8,Comprehensive Statistics Calculator
93,cpp,hard,0,-3.8,0,1,13,Game Collision System Implementation
94,cpp,medium,0,-5.0,0,1,16,Union-Find Data Structure Implementation
95,cpp,medium,0,-4.0,0,0,10,Problem: String Analysis Metrics
96,cpp,medium,1,-1.6,0,0,4,3D Cone Modeling and Analysis
97,cpp,hard,0,-1.0,0,3,13,Progress Bar Visualization
98,cpp,hard,1,-8.2,0,5,38,Word Frequency Tracker using AVL Tree
99,cpp,hard,0,9.6,0,10,11,Advanced Timer Implementation
100,cpp,easy,1,0.8,0,2,5,Problem: Longest Common Substring Finder
101,cpp,medium,0,-0.2,0,5,18,Problem: Enhanced Virtual Machine Simulator
102,cpp,easy,1,-2.4,0,0,6,Alphabet Path Finder Problem
103,cpp,easy,1,-0.2,0,1,4,Atmospheric Calculations Problem
104,cpp,medium,1,0.2,0,1,3,String Analysis Problem
105,cpp,hard,1,-6.4,0,0,16,Rational Number Operations
106,cpp,medium,1,-4.6,0,3,22,Binary Tree Analysis Problem
107,cpp,hard,0,-4.8,0,0,12,Hotel Stay Planner in Weighted Graphs
108,cpp,hard,0,3.2,0,4,6,Game Character and World Simulation
109,cpp,hard,0,-3.6,0,0,9,<Problem Description>
110,cpp,medium,1,-5.8,0,1,18,Number Range Analyzer
111,cpp,hard,0,-4.0,0,0,10,3D Transformation and Camera Projection System
112,cpp,hard,0,-9.6,0,2,31,Constraint Satisfaction Problem Solver
113,cpp,hard,0,-4.2,0,1,14,Basketball Scoreboard System
114,cpp,hard,0,-2.0,0,0,5,3D Camera System Implementation
115,cpp,hard,0,-2.0,0,2,12,Sphere Mesh Generator
116,cpp,easy,1,-0.4,0,0,1,String Analysis Problem
117,cpp,easy,1,-2.4,0,0,6,Bit Manipulation Analyzer
118,cpp,hard,1,10.2,0,9,6,Armor Class Implementation
119,cpp,easy,1,-3.2,0,0,8,Time Class Implementation
120,cpp,hard,1,-6.8,0,0,17,Burrows-Wheeler Transform Implementation
121,cpp,hard,1,-7.6,0,2,26,Largest Independent Set in Binary Trees
122,cpp,hard,1,-5.2,0,0,13,Friend Circles in Social Networks
123,cpp,hard,0,2.6,0,5,11,Spatial Points Analysis Problem
124,cpp,easy,1,-4.8,0,0,12,Vector Mathematical Operations
125,cpp,hard,1,0.4,0,4,13,Game Object Management System
126,cpp,hard,0,-1.6,0,0,4,Observer Pattern Implementation for News Distribution System
127,cpp,hard,1,-6.8,0,0,17,Problem: Quaternion String Splitting
128,cpp,medium,1,1.4,0,3,7,String Processing Function
129,cpp,medium,1,-2.2,0,1,9,Maximum and Minimum Subarray Problem
130,cpp,hard,0,-8.0,0,0,20,Problem: Advanced Wall Height Construction
131,cpp,medium,0,-2.4,0,0,6,Quaternion Operations in 3D Space
132,cpp,hard,0,-5.4,0,1,17,Terrain Model Generation
133,cpp,easy,1,-6.0,0,0,15,Pattern Matching Problem
134,cpp,hard,1,-6.2,0,1,19,Stack Operations Processor
135,cpp,hard,0,-2.6,0,1,10,Programming Problem: Symbol Resolver for Performance Maps
136,cpp,hard,0,7.6,0,14,30,Couple Matching and Happiness Calculation System
137,cpp,hard,0,-6.0,0,2,22,Binary Tree Spiral Traversal and Analysis
138,cpp,medium,1,-11.6,0,0,29,Problem: Graph Implementation and Algorithms
139,cpp,hard,0,-3.6,0,0,9,Name Greeting Generator
140,cpp,medium,1,-2.6,0,3,17,Flower Bloom Counter with Segment Tree
141,cpp,hard,0,-1.8,0,3,15,3D Player Movement Simulation
142,cpp,hard,1,-2.4,0,0,6,Ladder Game Problem
143,cpp,hard,0,-2.8,0,0,7,<problem_description>
144,cpp,hard,1,-3.4,0,1,12,String Pattern Matching Analyzer
145,cpp,hard,0,-4.4,0,0,11,GCD Calculator with Multiple Methods
146,cpp,hard,0,-3.6,0,0,9,Quaternion Rotation Operations
147,cpp,hard,0,-2.4,0,2,13,Planning System for Character Actions
148,cpp,hard,0,-6.6,0,1,20,Ghost Escape Analysis
149,cpp,hard,0,-12.8,0,2,39,Number Game Solver Problem
150,cpp,hard,0,-8.6,0,1,25,<problem_description>
151,cpp,hard,0,-20.0,0,2,57,<problem_description>
152,cpp,hard,0,0.2,0,1,3,Pixel Color Manipulation
153,cpp,medium,1,-4.0,0,0,10,String Rotation Checker
154,cpp,hard,0,-4.8,0,0,12,3D Affine Transformations Matrix Problem
155,cpp,hard,0,-1.4,0,1,7,Character Sorting System
156,cpp,hard,0,1.0,0,3,8,Animal Consumption Analysis Problem
157,cpp,hard,1,-8.8,0,0,22,TrieMap Implementation Problem
158,cpp,hard,1,-4.4,0,0,11,Binary Tree Lowest Common Ancestor (LCA) Finder
159,cpp,medium,1,-5.4,0,1,17,Longest Increasing Path in a Matrix
160,cpp,easy,1,-8.0,0,0,20,Series Generator and Analyzer
161,cpp,hard,0,0.2,0,1,3,Binary Number Constraints Counter
162,cpp,hard,0,-0.8,0,2,9,Unit Sorting System
163,cpp,hard,0,-3.4,0,1,12,2D Game Entity System Implementation
164,cpp,medium,0,-1.8,0,1,8,Benchmarking Utility Class Implementation
165,cpp,medium,1,-1.8,0,1,8,2D Sprite Collision Detection System
166,cpp,hard,1,-2.6,0,1,10,Ribbon Cutting Statistics Problem
167,cpp,hard,1,-3.2,0,2,15,String Processing and Analysis
168,cpp,hard,1,0.8,0,6,19,Student Classification and Ranking System
169,cpp,hard,1,-3.6,0,2,16,Problem: XOR Combination Solver
170,cpp,easy,0,-2.6,0,1,10,Session Management System
171,cpp,medium,1,-8.0,0,2,27,Problem: Digit Analysis of Multiples
172,cpp,medium,1,0.4,0,2,6,Binary Tree Analysis Problem
173,cpp,medium,1,-7.2,0,0,18,Graph Analysis Problem
174,cpp,hard,1,-5.2,0,0,13,Segment Tree with Range Operations
175,cpp,hard,1,-2.4,0,2,13,River-Water Pair Processing System
176,cpp,hard,0,-2.8,0,4,21,Player Movement Simulator Problem
177,cpp,hard,0,-3.4,0,1,12,Bridge Crossing Optimization Problem
178,cpp,easy,1,-0.2,0,1,4,Sierpinski Tetrahedron Generator and Surface Area Calculator
179,cpp,hard,0,-12.4,0,4,45,Advanced Media Player System
180,cpp,easy,1,-1.2,0,2,10,Time Operations in C++
181,cpp,hard,0,-6.2,0,1,19,Palindrome Analysis Problem
182,cpp,hard,1,-6.4,0,0,16,String Analysis Utility
183,cpp,medium,1,1.4,0,3,7,Adventure Game Inventory System
184,go,easy,1,-2.4,0,0,6,"Write a Go function that converts a given string into the shortest possible palindrome. A palindrome is a string that reads the same forwards and backwards. The given string may already be a palindrome or not. If it is a palindrome, return the original string directly; if not, make it the shortest palindrome by adding the minimum number of characters to the front of the string."
185,cpp,hard,1,-14.4,0,0,36,Big Integer Implementation
186,go,medium,1,-0.4,0,0,1,Write a Go function `ExecuteWithDefer` that takes two parameters:
187,go,medium,1,-2.0,0,0,5,"Implement a Go function `Divide(dividend int, divisor int) int` that performs division of two integers and returns the quotient. The function must handle the following cases:"
188,go,medium,1,-0.8,0,0,2,Write a Go function `FormatIP` that converts a 4-byte array into a dotted-decimal format IPv4 address string.
189,cpp,medium,1,-1.4,0,1,7,2D Mesh Triangle Generator
190,go,hard,0,-2.8,0,0,7,"Write a Go function `SearchInsert` that takes a sorted integer array `nums` and a target value `target`, and returns the index of the target in the array. If the target does not exist in the array, return the index where it should be inserted to maintain the array's sorted order."
191,go,medium,1,-2.0,0,0,5,Write a Go function `RaceConditionSimulator` that simulates a simple race condition scenario. The function takes an integer parameter `iterations` representing the number of iterations and returns two values: a string describing the detected race condition state and an integer representing the final computation result.
192,go,hard,0,-1.2,0,0,3,Write a Go function to check if a given path exists.
193,go,hard,0,-0.4,0,0,1,Implement a message signing and verification system based on HMAC-SHA256. Write a program in Go that includes the following functionalities:
194,go,hard,1,-2.8,0,0,7,Please implement the following two functions in Go:
195,go,easy,0,-4.0,0,0,10,Write a Go function `MinIncrementForUnique` that takes an integer array as input and returns the minimum number of increment operations required to make all elements in the array unique.
196,go,hard,0,-1.2,0,0,3,Write a Go function to convert time between different time zones.
197,go,hard,0,-2.0,0,0,5,Write a Go function `ValidateAddress` to verify whether a given string is a valid Bitcoin address.
198,go,medium,0,-2.0,0,0,5,"Write a Go function `GetLastUsableIP` that takes a CIDR-formatted IP address string as input and returns the last usable IP address within that network range (i.e., the address preceding the broadcast address). The function must support both IPv4 and IPv6 addresses."
199,go,hard,0,-2.8,0,0,7,Write a Go function `EvaluateString` that handles placeholder substitution in strings. The specific requirements are as follows:
200,go,hard,0,-1.6,0,0,4,Write a Go function `AuthMiddleware` to handle authorization token validation. The function needs to check the incoming authorization string and return the corresponding user information or an error message.
201,cpp,hard,0,-1.0,0,1,6,Wiggle Sequence Analysis
202,go,easy,0,0.6,0,3,9,Implement a simple directed graph data structure using Go. The data structure should support the following functionalities:
203,go,hard,0,-1.2,0,0,3,"Implement a Go template processor capable of loading and executing text templates, with support for custom template functions."
204,go,hard,0,-1.2,0,0,3,Please implement a network endpoint parser in Go language. This parser should be able to extract address and port information from a string and provide comparison functionality.
205,go,hard,0,-4.0,0,0,10,Implement an LRU (Least Recently Used) cache data structure using the Go language. The cache should support the following operations:
206,go,hard,0,-3.6,0,0,9,Implement a thread-safe key-value registry system using the Go programming language.
207,go,medium,0,-2.0,0,0,5,Please implement a heap sort algorithm in Go that can sort integers. The specific requirements are as follows:
208,go,hard,1,-1.2,0,0,3,"Implement a management system for deuterium storage tanks, which requires writing a Go program to simulate the upgrade cost and capacity calculation of deuterium storage tanks."
209,go,hard,0,-1.6,0,0,4,"Implement a subtitle management system capable of filtering and grouping a collection of subtitles. Each subtitle contains three fields: Version, Language, and Link."
210,go,hard,0,-2.0,0,0,5,Write a Go function `IsPositiveDefinite` to determine whether a given real matrix is positive definite. A positive definite matrix is defined as a symmetric matrix where all eigenvalues are positive real numbers.
211,go,hard,0,4.4,0,4,3,Write a Go function to load and parse a font data file. Implement a function named `LoadFontData` that takes a font filename as input and returns a `FontData` struct or an error.
212,go,medium,0,1.0,0,5,15,Write a Go function `GitBranchManager` that generates corresponding Git commands based on different Git branch operations. The function needs to handle the following operations:
213,go,hard,0,3.0,0,3,3,Write a Go function to parse an RSS feed and return a list of articles.
214,go,easy,1,-6.4,0,0,16,"Implement a simple grid game logic, requiring the implementation of two functions in Go:"
215,go,hard,0,-2.4,0,0,6,"Write a Go function `CalculatePagination` to compute pagination information. The function should take three parameters: the current page number, the number of items per page, and the total number of items. It should return five values:"
216,go,hard,1,-2.8,0,0,7,"Implement a stack data structure and its operations, requiring the following functionalities to be completed in Go:"
217,go,hard,0,-0.8,0,0,2,Implement a Go language template renderer that can generate rendered text based on given data and template strings. The specific requirements are as follows:
218,go,medium,1,-6.0,0,0,15,Write a Go function to find the longest substring in a given string where each character in the substring must appear at least k times.
219,go,hard,1,-2.0,0,0,5,Write a Go function `MaskToString` that converts an 8-bit unsigned integer into a binary string representation of a specified length.
220,go,hard,0,10.0,0,8,3,"Implement a log level manager in Go. The manager should be capable of setting and retrieving log levels, determining whether a log message of a certain level should be recorded, and converting between log levels and their string representations."
221,go,hard,0,-1.2,0,0,3,"Please implement a byte conversion tool `ByteConverter` in Go language, which should include the following functionalities:"
222,go,easy,0,0.0,0,0,0,Implement a builder pattern system for creating components of different creatures.
223,go,hard,0,5.2,0,4,1,Please implement a time iterator in Go that can generate subsequent time sequences based on a given start time and interval type.
224,go,hard,0,-1.6,0,0,4,Write a Go function to register a Grafana dashboard to Consul storage. The function must meet the following requirements:
225,go,hard,0,-2.4,0,0,6,"Write a Go function `RemoveLinesFromFile` that removes all lines containing a specific substring from a given text file. The function should modify the original file directly, rather than creating a new file."
226,go,easy,1,-2.2,0,1,9,Please implement a function `MapToStruct` in Go that maps an input of type `map[string]interface{}` to a struct pointer. The specific requirements are as follows:
227,go,hard,0,-11.2,0,0,28,"Implement the basic logic of a Tic-Tac-Toe game. Write the code in Go language, which should include the following functionalities:"
228,go,easy,1,3.4,0,3,2,"Write a Go function `ConcurrencyManager` that takes a list of operation functions and a timeout duration, executes all operations concurrently, and waits for their completion within the timeout period."
229,go,hard,0,1.2,0,2,4,Implement a struct representing a neural network node with the following functionalities:
230,go,hard,0,-2.8,0,0,7,Implement an HTTP Digest Authentication generator. You need to create a Go program that fulfills the following requirements:
231,go,easy,0,-2.8,0,0,7,"Write a Go function `ConstrainedSubsetSum` that takes an integer array `nums` and an integer `k`, and returns an integer."
232,go,easy,1,-1.2,0,0,3,Write a Go function to perform bitwise operations on an 8-bit unsigned integer. The function should be named `BitOperations` and take two parameters: a `uint8` number and a `uint8` bit position (0-7). The function should return a map containing the results of various bitwise operations and an error message string.
233,go,hard,0,2.4,0,4,8,Please implement a function named `SliceAnalyzer` in Go that performs a series of operations on an integer slice and returns information about the modified slice.
234,go,easy,1,-0.8,0,0,2,Implement an iterator for a Binary Search Tree (BST) that accesses nodes in the order of in-order traversal.
235,go,medium,1,-2.0,0,0,5,Write a Go function `ValidateChainPropertiesUpdate` to validate the legality of a blockchain properties update operation. The function takes a parameter of type `VersionedChainPropertiesUpdateOperation` and returns a boolean value (indicating whether the validation passed) and a string (containing the validation result message).
236,go,easy,1,-1.6,0,0,4,Implement an LRU (Least Recently Used) cache mechanism using Go. The cache should support the following operations:
237,go,hard,1,-1.6,0,0,4,Write a Go function `DeepCopyMap` that implements the following functionality:
238,go,medium,1,-3.0,0,5,25,Write a Go program that implements a boolean processor capable of converting various types of inputs into their corresponding boolean values.
239,go,hard,0,7.2,0,6,3,Implement an RSA Encryption Tool
240,go,hard,0,-0.4,0,0,1,Write a Go function `GenerateIdentifier` that generates a unique identifier based on a given seed string and a specified length. The identifier should be derived from the SHA-256 hash of the seed string and return the corresponding byte slice (truncated or extended) according to the requested length.
241,go,easy,1,-3.6,0,0,9,Write a Go function to count the occurrences of a specific number in a sorted integer array.
242,go,hard,0,-2.8,0,0,7,Implement a Go function to simulate the handshake process of the SOCKS5 protocol.
243,go,easy,1,-0.4,0,0,1,Write a Go function `HexToBase64` that converts a hexadecimal string to a Base64 encoded string.
244,go,hard,0,2.6,0,3,4,Write a Go function `ParseURL` that parses a URL string and breaks it down into its components. The function should accept a string as input and return a map containing the parts of the URL along with a possible error.
245,go,medium,1,3.6,0,4,5,Write a Go function `LoadDocument` that accepts variadic arguments and returns a `DocumentConfig` struct or an error. The function should configure document loading settings based on the input parameters.
246,go,medium,1,-8.8,0,0,22,Implement a simplified Raft consensus algorithm node that must fulfill the following two core functions:
247,go,hard,0,-0.8,0,0,2,Implement an event handler system using the Go language.
248,go,medium,1,-1.2,0,0,3,Please implement an insertion sort algorithm in Go language. Write a function named `InsertionSort` that takes an integer slice as input and returns a new slice sorted in ascending order.
249,go,hard,1,-2.0,0,0,5,Write a Go function `Multiply` that performs multiplication of two non-negative integer strings and returns their product as a string.
250,go,medium,1,-1.6,0,0,4,Please implement the following two functions in Go:
251,go,hard,0,17.4,0,13,2,Please implement a state machine function for the Raft consensus algorithm in Go. This function should return a new state and corresponding actions based on the current state and received events.
252,go,hard,0,-3.2,0,0,8,Please implement an encryption tool in Go that supports the AES-256-CFB encryption mode. The tool should be able to encrypt and decrypt data using a given password and initialization vector (IV).
253,go,easy,1,1.4,0,3,7,"Write a Go function `DigitSumLimit` that takes three parameters: two integers `a` and `b`, and a boolean `compareToA`. The function should return two values: an integer and a string."
254,go,hard,0,-3.6,0,0,9,Please implement the following three network-related functions in Go:
255,go,medium,1,-1.2,0,0,3,"Write a Go function `NumMovesStonesII` that takes a slice of integers representing the positions of stones and returns a slice containing two integers. The first integer represents the minimum number of moves required to move all stones into consecutive positions, and the second integer represents the maximum number of moves."
256,go,hard,0,1.8,0,5,13,Implement a simple user database management system using Go language. The system should support the following operations:
257,go,hard,0,-2.0,0,0,5,Write a Go program to implement two functions: `Base10ToBase62` and `MapIndexes`.
258,go,hard,0,11.2,0,10,7,"Write a Go function `ControlFlowDemo` that takes three integer parameters: `startValue`, `iterations`, and `switchCase`, and returns a map containing multiple key-value pairs and an error string."
259,go,hard,0,-4.0,0,0,10,Implement a simple database simulator capable of storing and retrieving file records and Pastebin records. The specific requirements are as follows:
260,go,hard,0,-2.0,0,0,5,"Write a Go function `NumOfArrays` that calculates the number of arrays satisfying specific conditions. Given three integers n, m, and k, the function should return the number of arrays that meet all the following conditions:"
261,go,medium,0,-6.8,0,0,17,Write a Go function `GetBestMove` that takes a `GameState` struct as input and returns a string representing the best direction for the snake to move.
262,go,hard,1,2.6,0,3,4,Implement a Go language logger that can filter log messages based on the set log level. The logger must meet the following requirements:
263,go,medium,1,-2.0,0,0,5,Write a Go function `CocktailSort` that implements the Cocktail Sort algorithm (also known as bidirectional bubble sort). The function should be able to sort an integer slice in either ascending or descending order based on the provided parameter.
264,go,hard,1,-4.4,0,0,11,Implement a balanced binary search tree (AVL tree) data structure that supports insertion operations and in-order traversal.
265,go,hard,0,-2.4,0,0,6,"Write a Go function `CryptoDemo` that implements simple encryption and decryption functionality. The function takes a string input and two byte slices (a public key and a private key), and returns the encrypted string, the decrypted string, and any potential error."
266,go,hard,0,18.6,0,15,6,Write a Go program to implement datetime formatting functionality. The program should include the following features:
267,go,medium,0,7.0,0,5,0,Write a Go function to process person information with the following specific requirements:
268,go,hard,0,-2.8,0,0,7,Implement a Go function that simulates Git operations. Write a function named `GitOperation` that can handle basic Git commands and return corresponding results.
269,go,hard,0,6.2,0,7,9,Write a Go function `ParseProxyTag` to parse a string containing special markers. The function needs to identify three cases:
270,go,hard,0,-4.8,0,0,12,Write a Go function `GetIPInfo` that takes a `*http.Request` object as a parameter and returns a map containing client IP-related information.
271,go,hard,1,-1.2,0,0,3,Write a Go function to calculate the maximum path sum in a binary tree.
272,go,hard,1,-5.2,0,0,13,Write a Go function `RemoveStones` that calculates the maximum number of stones that can be removed from a given layout of stones on a 2D plane.
273,go,hard,1,8.6,0,7,3,Write a Go function `RegexOperations` that can perform different regular expression operations on an input string based on the specified operation. The function should support the following operations:
274,go,medium,0,-1.6,0,0,4,Write a Go function `BuildSeleniumURL` that constructs the complete URL for Selenium WebDriver based on the given parameters.
275,go,hard,0,-1.6,0,0,4,Please implement two functions in Go:
276,go,hard,0,-0.8,0,0,2,Implement a graph key handler capable of generating and parsing vertex and edge keys. The specific requirements are as follows:
277,go,hard,1,-1.2,0,0,3,Please implement an Ethereum client tool in Go language with the following functionalities:
278,go,hard,0,-10.2,0,1,29,"Implement a 2D grid pathfinder. Given a grid with width w and height h, where each cell is either passable (0) or an obstacle (1). Implement a PathFinder type containing the following methods:"
279,go,hard,1,0.2,0,3,10,"Write a Go function `LongestBeautifulSubstring` that takes a string as input and returns an integer. The string consists of lowercase letters, and the function needs to find the length of the longest ""beautiful substring"" within it."
280,go,easy,1,-1.2,0,0,3,Write a Go function `GrayCode` that generates an n-bit Gray code sequence.
281,go,easy,0,12.4,0,10,4,Write a Go function to implement log filtering and formatting functionality. The specific requirements are as follows:
282,go,hard,0,-8.8,0,0,22,Implement a Go program to handle arithmetic operations and conversions of large numbers. You need to implement the following functionalities:
283,go,hard,0,-2.8,0,0,7,"Please implement a Go function `StringSplitter` that can split an input string into multiple substrings based on a given delimiter, with support for multiple splitting options."
284,go,medium,1,-1.4,0,1,7,Implement a Go program to handle user authentication and authorization. The program should include the following functionalities:
285,go,hard,0,0.6,0,1,2,"Please implement a basic operations library for a 2D vector (Vec2) in Go. The Vec2 struct contains two int32 fields, X and Y. The following methods need to be implemented:"
286,go,hard,0,1.2,0,4,11,"Implement a game command processor system using Go language. The system should be capable of parsing and executing game commands in JSON format, and returning corresponding results."
287,go,hard,0,-1.6,0,0,4,Write a Go function `ParseURLDetails` that parses a URL string and returns a map of its components.
288,go,hard,0,-2.0,0,0,5,"Write a Go function `ExtractPDFLinks` that extracts all links pointing to PDF files from an HTML string. The function should take an HTML string as input and return a slice of strings containing all links that end with "".pdf"" (case-sensitive)."
289,go,hard,0,-5.6,0,0,14,Implement a Binary Search Tree (BST) data structure that supports the following operations:
290,go,medium,0,-0.8,0,0,2,Write a Go function `MakeHostingConfig` that generates a server configuration string. The configuration string must adhere to the following format requirements:
291,go,easy,1,-3.2,0,0,8,Implement a simple in-memory cache simulator that supports the following features:
292,go,hard,1,0.0,0,0,0,Write a Go function `ConfigureHTTPServer` to configure an HTTP server instance. The function should accept the following parameters:
293,go,hard,0,4.4,0,4,3,Please implement a function to parse user profiles in Go language.
294,go,hard,1,-1.6,0,0,4,Write a Go function `ConcurrentSumCalculator` that calculates the sum of consecutive triangular numbers starting from a given number.
295,go,hard,1,-9.2,0,0,23,"Please implement a DES encryption and decryption tool in Go language, supporting CBC mode, PKCS5 padding, and Base64 encoding."
296,go,medium,1,-0.8,0,0,2,Write a Go program to implement a state storage system. This system needs to track the state values of different IDs and be able to detect whether the state has changed.
297,go,hard,1,-2.8,0,0,7,Write a Go function `maxEqualRowsAfterFlips` that takes a 2D integer matrix as input and returns an integer.
298,go,hard,1,-2.8,0,0,7,Implement an IP address-based rate limiter. The limiter should be able to:
299,go,medium,1,-2.8,0,0,7,Implement a graph query processor that can efficiently answer queries about node ranges.
300,go,hard,0,-0.8,0,0,2,Please implement a function `CheckVaccineText` in Go that checks a vaccination appointment text and extracts the year information.
