index,language,difficulty,success,alignment_score,question_canonical_overlap,question_test_overlap,canonical_test_overlap,title
123,cpp,hard,0,18.26,0.2304,0.1317,0.1696,Spatial Points Analysis Problem
124,cpp,easy,1,20.8,0.2891,0.0828,0.225,Vector Mathematical Operations
125,cpp,hard,1,29.48,0.3272,0.2291,0.3172,Game Object Management System
126,cpp,hard,0,23.25,0.224,0.1881,0.2885,Observer Pattern Implementation for News Distribution System
127,cpp,hard,1,18.34,0.2545,0.0872,0.1848,Problem: Quaternion String Splitting
128,cpp,medium,1,19.55,0.2174,0.1656,0.1963,String Processing Function
129,cpp,medium,1,15.71,0.1582,0.1326,0.18,Maximum and Minimum Subarray Problem
130,cpp,hard,0,25.13,0.3596,0.1477,0.2105,Problem: Advanced Wall Height Construction
131,cpp,medium,0,20.77,0.2616,0.1504,0.1931,Quaternion Operations in 3D Space
132,cpp,hard,0,26.49,0.3906,0.1622,0.2,Terrain Model Generation
133,cpp,easy,1,14.11,0.1813,0.1006,0.1279,Pattern Matching Problem
134,cpp,hard,1,17.59,0.2414,0.0791,0.1855,Stack Operations Processor
135,cpp,hard,0,20.59,0.2535,0.1686,0.1799,Programming Problem: Symbol Resolver for Performance Maps
136,cpp,hard,0,29.61,0.4044,0.1977,0.25,Couple Matching and Happiness Calculation System
137,cpp,hard,0,21.32,0.2673,0.1222,0.232,Binary Tree Spiral Traversal and Analysis
138,cpp,medium,1,17.57,0.2678,0.0948,0.1338,Problem: Graph Implementation and Algorithms
139,cpp,hard,0,18.47,0.1627,0.1813,0.2174,Name Greeting Generator
140,cpp,medium,1,21.3,0.305,0.105,0.1982,Flower Bloom Counter with Segment Tree
141,cpp,hard,0,30.04,0.3568,0.241,0.2846,3D Player Movement Simulation
142,cpp,hard,1,19.85,0.3,0.1164,0.1452,Ladder Game Problem
143,cpp,hard,0,21.67,0.2724,0.1386,0.2207,<problem_description>
144,cpp,hard,1,21.19,0.1964,0.1807,0.2637,String Pattern Matching Analyzer
145,cpp,hard,0,19.43,0.2766,0.0825,0.1963,GCD Calculator with Multiple Methods
146,cpp,hard,0,24.95,0.2762,0.1907,0.2727,Quaternion Rotation Operations
147,cpp,hard,0,30.75,0.3333,0.2347,0.3459,Planning System for Character Actions
148,cpp,hard,0,26.67,0.3262,0.1798,0.2743,Ghost Escape Analysis
149,cpp,hard,0,20.94,0.2763,0.1372,0.1925,Number Game Solver Problem
150,cpp,hard,0,24.65,0.3077,0.184,0.2275,<problem_description>
151,cpp,hard,0,18.03,0.1641,0.1557,0.2267,<problem_description>
152,cpp,hard,0,24.04,0.3184,0.1466,0.23,Pixel Color Manipulation
153,cpp,medium,1,19.52,0.2754,0.1016,0.1818,String Rotation Checker
154,cpp,hard,0,26.5,0.3033,0.2139,0.265,3D Affine Transformations Matrix Problem
155,cpp,hard,0,22.6,0.326,0.1222,0.1966,Character Sorting System
156,cpp,hard,0,19.31,0.2402,0.1034,0.22,Animal Consumption Analysis Problem
157,cpp,hard,1,20.31,0.2237,0.1803,0.1983,TrieMap Implementation Problem
158,cpp,hard,1,26.17,0.2872,0.1749,0.3146,Binary Tree Lowest Common Ancestor (LCA) Finder
159,cpp,medium,1,13.64,0.1989,0.0765,0.113,Longest Increasing Path in a Matrix
160,cpp,easy,1,26.34,0.2857,0.1638,0.3333,Series Generator and Analyzer
161,cpp,hard,0,24.69,0.3285,0.1319,0.2532,Binary Number Constraints Counter
162,cpp,hard,0,34.36,0.4523,0.244,0.2982,Unit Sorting System
163,cpp,hard,0,25.4,0.314,0.1511,0.2767,2D Game Entity System Implementation
164,cpp,medium,0,22.24,0.25,0.2032,0.205,Benchmarking Utility Class Implementation
165,cpp,medium,1,20.12,0.2692,0.1159,0.1957,2D Sprite Collision Detection System
166,cpp,hard,1,18.56,0.2184,0.104,0.2234,Ribbon Cutting Statistics Problem
167,cpp,hard,1,21.67,0.2568,0.1596,0.2203,String Processing and Analysis
168,cpp,hard,1,25.62,0.2844,0.1748,0.3,Student Classification and Ranking System
169,cpp,hard,1,14.32,0.1422,0.1044,0.1833,Problem: XOR Combination Solver
170,cpp,easy,0,28.09,0.385,0.1836,0.2394,Session Management System
171,cpp,medium,1,16.5,0.2825,0.0422,0.1313,Problem: Digit Analysis of Multiples
172,cpp,medium,1,18.95,0.2389,0.1026,0.2105,Binary Tree Analysis Problem
173,cpp,medium,1,18.24,0.1453,0.1322,0.2821,Graph Analysis Problem
174,cpp,hard,1,18.98,0.2527,0.1111,0.1848,Segment Tree with Range Operations
175,cpp,hard,1,12.57,0.1452,0.1024,0.123,River-Water Pair Processing System
176,cpp,hard,0,21.93,0.2427,0.1378,0.2696,Player Movement Simulator Problem
177,cpp,hard,0,16.46,0.1538,0.1212,0.2222,Bridge Crossing Optimization Problem
178,cpp,easy,1,24.82,0.3099,0.1412,0.2727,Sierpinski Tetrahedron Generator and Surface Area Calculator
179,cpp,hard,0,26.26,0.3364,0.2054,0.2214,Advanced Media Player System
180,cpp,easy,1,24.4,0.337,0.1398,0.2241,Time Operations in C++
181,cpp,hard,0,15.18,0.1667,0.1184,0.1653,Palindrome Analysis Problem
182,cpp,hard,1,23.48,0.2821,0.1323,0.2743,String Analysis Utility
183,cpp,medium,1,28.2,0.3043,0.173,0.3611,Adventure Game Inventory System
184,go,easy,1,10.19,0.0864,0.1209,0.1034,"Write a Go function that converts a given string into the shortest possible palindrome. A palindrome is a string that reads the same forwards and backwards. The given string may already be a palindrome or not. If it is a palindrome, return the original string directly; if not, make it the shortest palindrome by adding the minimum number of characters to the front of the string."
185,cpp,hard,1,22.26,0.2523,0.1436,0.2619,Big Integer Implementation
186,go,medium,1,14.17,0.0976,0.1828,0.1594,Write a Go function `ExecuteWithDefer` that takes two parameters:
187,go,medium,1,15.59,0.125,0.1667,0.1864,"Implement a Go function `Divide(dividend int, divisor int) int` that performs division of two integers and returns the quotient. The function must handle the following cases:"
188,go,medium,1,10.94,0.1014,0.0714,0.1579,Write a Go function `FormatIP` that converts a 4-byte array into a dotted-decimal format IPv4 address string.
189,cpp,medium,1,23.08,0.3348,0.1319,0.1911,2D Mesh Triangle Generator
190,go,hard,0,14.06,0.1194,0.0933,0.2162,"Write a Go function `SearchInsert` that takes a sorted integer array `nums` and a target value `target`, and returns the index of the target in the array. If the target does not exist in the array, return the index where it should be inserted to maintain the array's sorted order."
191,go,medium,1,16.73,0.1224,0.1739,0.2203,Write a Go function `RaceConditionSimulator` that simulates a simple race condition scenario. The function takes an integer parameter `iterations` representing the number of iterations and returns two values: a string describing the detected race condition state and an integer representing the final computation result.
192,go,hard,0,31.21,0.2292,0.3765,0.3582,Write a Go function to check if a given path exists.
193,go,hard,0,18.34,0.1468,0.2715,0.144,Implement a message signing and verification system based on HMAC-SHA256. Write a program in Go that includes the following functionalities:
194,go,hard,1,20.86,0.1923,0.2288,0.21,Please implement the following two functions in Go:
195,go,easy,0,17.96,0.1183,0.3256,0.1154,Write a Go function `MinIncrementForUnique` that takes an integer array as input and returns the minimum number of increment operations required to make all elements in the array unique.
196,go,hard,0,23.12,0.2021,0.2393,0.2619,Write a Go function to convert time between different time zones.
197,go,hard,0,18.26,0.1081,0.3,0.1644,Write a Go function `ValidateAddress` to verify whether a given string is a valid Bitcoin address.
198,go,medium,0,19.48,0.1373,0.2056,0.2609,"Write a Go function `GetLastUsableIP` that takes a CIDR-formatted IP address string as input and returns the last usable IP address within that network range (i.e., the address preceding the broadcast address). The function must support both IPv4 and IPv6 addresses."
199,go,hard,0,13.85,0.0692,0.2214,0.1481,Write a Go function `EvaluateString` that handles placeholder substitution in strings. The specific requirements are as follows:
200,go,hard,0,25.88,0.2212,0.2397,0.3281,Write a Go function `AuthMiddleware` to handle authorization token validation. The function needs to check the incoming authorization string and return the corresponding user information or an error message.
201,cpp,hard,0,19.8,0.2342,0.1299,0.2178,Wiggle Sequence Analysis
202,go,easy,0,29.67,0.248,0.4083,0.25,Implement a simple directed graph data structure using Go. The data structure should support the following functionalities:
203,go,hard,0,16.78,0.1014,0.2471,0.177,"Implement a Go template processor capable of loading and executing text templates, with support for custom template functions."
204,go,hard,0,17.75,0.088,0.2481,0.2262,Please implement a network endpoint parser in Go language. This parser should be able to extract address and port information from a string and provide comparison functionality.
205,go,hard,0,16.64,0.1182,0.2376,0.1594,Implement an LRU (Least Recently Used) cache data structure using the Go language. The cache should support the following operations:
206,go,hard,0,29.26,0.2051,0.3361,0.3659,Implement a thread-safe key-value registry system using the Go programming language.
207,go,medium,0,10.49,0.0551,0.1014,0.1746,Please implement a heap sort algorithm in Go that can sort integers. The specific requirements are as follows:
208,go,hard,1,18.0,0.1228,0.1721,0.2642,"Implement a management system for deuterium storage tanks, which requires writing a Go program to simulate the upgrade cost and capacity calculation of deuterium storage tanks."
209,go,hard,0,20.81,0.1622,0.2847,0.1927,"Implement a subtitle management system capable of filtering and grouping a collection of subtitles. Each subtitle contains three fields: Version, Language, and Link."
210,go,hard,0,25.99,0.192,0.2556,0.3548,Write a Go function `IsPositiveDefinite` to determine whether a given real matrix is positive definite. A positive definite matrix is defined as a symmetric matrix where all eigenvalues are positive real numbers.
211,go,hard,0,24.73,0.2553,0.3028,0.181,Write a Go function to load and parse a font data file. Implement a function named `LoadFontData` that takes a font filename as input and returns a `FontData` struct or an error.
212,go,medium,0,41.03,0.3627,0.4356,0.4483,Write a Go function `GitBranchManager` that generates corresponding Git commands based on different Git branch operations. The function needs to handle the following operations:
213,go,hard,0,52.01,0.5,0.4651,0.602,Write a Go function to parse an RSS feed and return a list of articles.
214,go,easy,1,18.12,0.1624,0.1875,0.2,"Implement a simple grid game logic, requiring the implementation of two functions in Go:"
215,go,hard,0,15.24,0.098,0.1955,0.1818,"Write a Go function `CalculatePagination` to compute pagination information. The function should take three parameters: the current page number, the number of items per page, and the total number of items. It should return five values:"
216,go,hard,1,20.06,0.1782,0.2039,0.2273,"Implement a stack data structure and its operations, requiring the following functionalities to be completed in Go:"
217,go,hard,0,17.27,0.1261,0.2378,0.1696,Implement a Go language template renderer that can generate rendered text based on given data and template strings. The specific requirements are as follows:
218,go,medium,1,15.74,0.1408,0.1724,0.1644,Write a Go function to find the longest substring in a given string where each character in the substring must appear at least k times.
219,go,hard,1,19.93,0.1224,0.301,0.2,Write a Go function `MaskToString` that converts an 8-bit unsigned integer into a binary string representation of a specified length.
220,go,hard,0,28.17,0.2177,0.3306,0.3182,"Implement a log level manager in Go. The manager should be capable of setting and retrieving log levels, determining whether a log message of a certain level should be recorded, and converting between log levels and their string representations."
221,go,hard,0,27.19,0.2056,0.3366,0.2955,"Please implement a byte conversion tool `ByteConverter` in Go language, which should include the following functionalities:"
222,go,easy,0,16.41,0.1417,0.1825,0.1757,Implement a builder pattern system for creating components of different creatures.
223,go,hard,0,16.52,0.1074,0.1812,0.2262,Please implement a time iterator in Go that can generate subsequent time sequences based on a given start time and interval type.
224,go,hard,0,33.39,0.2871,0.4242,0.3059,Write a Go function to register a Grafana dashboard to Consul storage. The function must meet the following requirements:
225,go,hard,0,26.29,0.2411,0.3212,0.2336,"Write a Go function `RemoveLinesFromFile` that removes all lines containing a specific substring from a given text file. The function should modify the original file directly, rather than creating a new file."
226,go,easy,1,26.48,0.1953,0.3516,0.2708,Please implement a function `MapToStruct` in Go that maps an input of type `map[string]interface{}` to a struct pointer. The specific requirements are as follows:
227,go,hard,0,22.52,0.1781,0.2028,0.3103,"Implement the basic logic of a Tic-Tac-Toe game. Write the code in Go language, which should include the following functionalities:"
228,go,easy,1,26.09,0.1953,0.3333,0.2759,"Write a Go function `ConcurrencyManager` that takes a list of operation functions and a timeout duration, executes all operations concurrently, and waits for their completion within the timeout period."
229,go,hard,0,29.53,0.265,0.3361,0.2949,Implement a struct representing a neural network node with the following functionalities:
230,go,hard,0,17.29,0.1399,0.2403,0.1496,Implement an HTTP Digest Authentication generator. You need to create a Go program that fulfills the following requirements:
231,go,easy,0,13.63,0.1058,0.1778,0.1356,"Write a Go function `ConstrainedSubsetSum` that takes an integer array `nums` and an integer `k`, and returns an integer."
232,go,easy,1,32.68,0.2717,0.3302,0.3968,Write a Go function to perform bitwise operations on an 8-bit unsigned integer. The function should be named `BitOperations` and take two parameters: a `uint8` number and a `uint8` bit position (0-7). The function should return a map containing the results of various bitwise operations and an error message string.
233,go,hard,0,30.58,0.2705,0.2562,0.4024,Please implement a function named `SliceAnalyzer` in Go that performs a series of operations on an integer slice and returns information about the modified slice.
234,go,easy,1,22.2,0.1727,0.3277,0.1818,Implement an iterator for a Binary Search Tree (BST) that accesses nodes in the order of in-order traversal.
235,go,medium,1,37.65,0.3274,0.4048,0.4138,Write a Go function `ValidateChainPropertiesUpdate` to validate the legality of a blockchain properties update operation. The function takes a parameter of type `VersionedChainPropertiesUpdateOperation` and returns a boolean value (indicating whether the validation passed) and a string (containing the validation result message).
236,go,easy,1,18.09,0.1641,0.2313,0.1529,Implement an LRU (Least Recently Used) cache mechanism using Go. The cache should support the following operations:
237,go,hard,1,27.06,0.1978,0.3667,0.2717,Write a Go function `DeepCopyMap` that implements the following functionality:
238,go,medium,1,23.92,0.1778,0.2952,0.2651,Write a Go program that implements a boolean processor capable of converting various types of inputs into their corresponding boolean values.
239,go,hard,0,27.64,0.2183,0.3379,0.2925,Implement an RSA Encryption Tool
240,go,hard,0,14.2,0.102,0.1653,0.1719,Write a Go function `GenerateIdentifier` that generates a unique identifier based on a given seed string and a specified length. The identifier should be derived from the SHA-256 hash of the seed string and return the corresponding byte slice (truncated or extended) according to the requested length.
241,go,easy,1,15.62,0.12,0.1975,0.1633,Write a Go function to count the occurrences of a specific number in a sorted integer array.
242,go,hard,0,24.69,0.1857,0.2791,0.2963,Implement a Go function to simulate the handshake process of the SOCKS5 protocol.
243,go,easy,1,17.6,0.1714,0.1939,0.1644,Write a Go function `HexToBase64` that converts a hexadecimal string to a Base64 encoded string.
244,go,hard,0,24.57,0.192,0.313,0.25,Write a Go function `ParseURL` that parses a URL string and breaks it down into its components. The function should accept a string as input and return a map containing the parts of the URL along with a possible error.
245,go,medium,1,36.93,0.2857,0.4148,0.4353,Write a Go function `LoadDocument` that accepts variadic arguments and returns a `DocumentConfig` struct or an error. The function should configure document loading settings based on the input parameters.
246,go,medium,1,32.04,0.284,0.3592,0.3301,Implement a simplified Raft consensus algorithm node that must fulfill the following two core functions:
247,go,hard,0,21.52,0.1527,0.2264,0.2874,Implement an event handler system using the Go language.
248,go,medium,1,18.13,0.0814,0.3457,0.15,Please implement an insertion sort algorithm in Go language. Write a function named `InsertionSort` that takes an integer slice as input and returns a new slice sorted in ascending order.
249,go,hard,1,11.92,0.102,0.0612,0.2,Write a Go function `Multiply` that performs multiplication of two non-negative integer strings and returns their product as a string.
250,go,medium,1,20.04,0.134,0.2787,0.2105,Please implement the following two functions in Go:
251,go,hard,0,27.87,0.2132,0.2867,0.358,Please implement a state machine function for the Raft consensus algorithm in Go. This function should return a new state and corresponding actions based on the current state and received events.
252,go,hard,0,20.06,0.1933,0.2819,0.1289,Please implement an encryption tool in Go that supports the AES-256-CFB encryption mode. The tool should be able to encrypt and decrypt data using a given password and initialization vector (IV).
253,go,easy,1,22.93,0.165,0.2427,0.3016,"Write a Go function `DigitSumLimit` that takes three parameters: two integers `a` and `b`, and a boolean `compareToA`. The function should return two values: an integer and a string."
254,go,hard,0,19.38,0.1709,0.189,0.2292,Please implement the following three network-related functions in Go:
255,go,medium,1,9.07,0.0526,0.0556,0.1765,"Write a Go function `NumMovesStonesII` that takes a slice of integers representing the positions of stones and returns a slice containing two integers. The first integer represents the minimum number of moves required to move all stones into consecutive positions, and the second integer represents the maximum number of moves."
256,go,hard,0,29.83,0.2621,0.4211,0.2238,Implement a simple user database management system using Go language. The system should support the following operations:
257,go,hard,0,24.16,0.2366,0.29,0.2,Write a Go program to implement two functions: `Base10ToBase62` and `MapIndexes`.
258,go,hard,0,34.56,0.2941,0.36,0.4,"Write a Go function `ControlFlowDemo` that takes three integer parameters: `startValue`, `iterations`, and `switchCase`, and returns a map containing multiple key-value pairs and an error string."
259,go,hard,0,33.32,0.2647,0.4211,0.3367,Implement a simple database simulator capable of storing and retrieving file records and Pastebin records. The specific requirements are as follows:
260,go,hard,0,18.3,0.11,0.2308,0.2326,"Write a Go function `NumOfArrays` that calculates the number of arrays satisfying specific conditions. Given three integers n, m, and k, the function should return the number of arrays that meet all the following conditions:"
261,go,medium,0,28.45,0.1926,0.3058,0.3857,Write a Go function `GetBestMove` that takes a `GameState` struct as input and returns a string representing the best direction for the snake to move.
262,go,hard,1,18.91,0.1847,0.1987,0.1855,Implement a Go language logger that can filter log messages based on the set log level. The logger must meet the following requirements:
263,go,medium,1,15.73,0.0952,0.161,0.2364,Write a Go function `CocktailSort` that implements the Cocktail Sort algorithm (also known as bidirectional bubble sort). The function should be able to sort an integer slice in either ascending or descending order based on the provided parameter.
264,go,hard,1,15.98,0.124,0.2101,0.1573,Implement a balanced binary search tree (AVL tree) data structure that supports insertion operations and in-order traversal.
265,go,hard,0,26.79,0.2137,0.3556,0.2524,"Write a Go function `CryptoDemo` that implements simple encryption and decryption functionality. The function takes a string input and two byte slices (a public key and a private key), and returns the encrypted string, the decrypted string, and any potential error."
