index,language,title,difficulty,variant_1,variant_2,variant_3
157,elixir,Function to Implement:,medium,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
1,elixir,**Problem: Generate MD5 Hash of a String**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
2,elixir,**Problem: Find Insert Position in Sorted Array**,medium,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
3,elixir,**Knight's Possible Moves on a Chessboard**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
5,elixir,**Problem: Find the Single Non-Duplicate Element in a Sorted Array**,easy,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
6,elixir,**Excel Column Title Conversion in Elixir**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
7,elixir,Test case 1,easy,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
8,elixir,Test case 1: Simple binary tree with depth 2,medium,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
10,elixir,**Problem: Adjust Color Luminosity**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
11,elixir,**Problem: Counting Integer Partitions**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
12,elixir,**Problem Description:**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
13,elixir,**Programming Problem: Alice and Bob's Number Game**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
16,elixir,**Problem: Counting Bipartite Graphs**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
24,elixir,**Problem Description:**,medium,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
25,elixir,**Problem: Minimum Refueling Stops**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
28,elixir,Test Case 1,medium,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
30,elixir,Your implementation here,medium,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
32,elixir,Your implementation here,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
38,elixir,Test case where the API call fails due to network/resolution error,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
40,elixir,Test case 1: Simple binary tree,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
42,elixir,**Problem: Count Unique Modulo Results**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
43,elixir,**Problem Description:**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
46,elixir,**Problem: Count Fair and Square Numbers**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
48,elixir,**Problem: Transform 3D Coordinates**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
50,elixir,Test Case 1,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
54,elixir,**Problem: Minimum Refueling Stops**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
58,elixir,**Problem: Handling URL Metadata Fetching in Elixir**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
64,elixir,**Problem: Sum Numbers in a String**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
65,elixir,**Problem: Generate All Permutations of a String or List**,medium,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
67,elixir,Test case 1: Small domain with 5 points,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
68,elixir,Test Case 1: Basic RSA workflow,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
72,elixir,**Problem: K-th Symbol in Grammar**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
74,elixir,**Problem: Counting Islands in a Grid**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
75,elixir,**Problem: Simulating User Input in Elixir**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
78,elixir,**Programming Problem: Homework Due Date Formatter**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
80,elixir,**Problem: Drawing a Triforce Pattern in Elixir**,easy,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
81,elixir,Your implementation here,medium,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
83,elixir,**Problem: Largest Rectangle in a Histogram**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
86,elixir,Your implementation,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
88,elixir,**Problem: Check Sum Parity**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
91,elixir,**Problem: Binary Tree Level Order Traversal**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
92,elixir,**Programming Problem: Generate Odd Number Sequence**,hard,explicit_tagged_result_contract,typed_result_wrapper,implicit_boolean_or_nil_contract
