experiment_id,task_id,language,condition_id,title,success
token_bucket_decisions:python:rich_contract,token_bucket_decisions,python,rich_contract,Token Bucket Decisions,0
token_bucket_decisions:python:rich_contract_examples,token_bucket_decisions,python,rich_contract_examples,Token Bucket Decisions,0
token_bucket_decisions:typescript:baseline_compact,token_bucket_decisions,typescript,baseline_compact,Token Bucket Decisions,0
token_bucket_decisions:typescript:rich_contract,token_bucket_decisions,typescript,rich_contract,Token Bucket Decisions,0
token_bucket_decisions:typescript:rich_contract_examples,token_bucket_decisions,typescript,rich_contract_examples,Token Bucket Decisions,0
top_k_frequencies:elixir:baseline_compact,top_k_frequencies,elixir,baseline_compact,Top K Frequencies,1
top_k_frequencies:elixir:rich_contract,top_k_frequencies,elixir,rich_contract,Top K Frequencies,1
top_k_frequencies:elixir:rich_contract_examples,top_k_frequencies,elixir,rich_contract_examples,Top K Frequencies,1
top_k_frequencies:python:baseline_compact,top_k_frequencies,python,baseline_compact,Top K Frequencies,1
top_k_frequencies:python:rich_contract,top_k_frequencies,python,rich_contract,Top K Frequencies,1
top_k_frequencies:python:rich_contract_examples,top_k_frequencies,python,rich_contract_examples,Top K Frequencies,1
top_k_frequencies:typescript:baseline_compact,top_k_frequencies,typescript,baseline_compact,Top K Frequencies,1
top_k_frequencies:typescript:rich_contract,top_k_frequencies,typescript,rich_contract,Top K Frequencies,1
top_k_frequencies:typescript:rich_contract_examples,top_k_frequencies,typescript,rich_contract_examples,Top K Frequencies,1
window_majority:elixir:baseline_compact,window_majority,elixir,baseline_compact,Sliding Window Majority,1
window_majority:elixir:rich_contract,window_majority,elixir,rich_contract,Sliding Window Majority,1
window_majority:elixir:rich_contract_examples,window_majority,elixir,rich_contract_examples,Sliding Window Majority,1
window_majority:python:baseline_compact,window_majority,python,baseline_compact,Sliding Window Majority,1
window_majority:python:rich_contract,window_majority,python,rich_contract,Sliding Window Majority,1
window_majority:python:rich_contract_examples,window_majority,python,rich_contract_examples,Sliding Window Majority,1
window_majority:typescript:baseline_compact,window_majority,typescript,baseline_compact,Sliding Window Majority,1
window_majority:typescript:rich_contract,window_majority,typescript,rich_contract,Sliding Window Majority,1
window_majority:typescript:rich_contract_examples,window_majority,typescript,rich_contract_examples,Sliding Window Majority,1
