audit_id,title,question_excerpt,first_failure_stage,first_failure_outcome,stderr_excerpt,stdout_excerpt,review_failure_category,review_runtime_subtype,review_notes,reviewer
AUD-011,# Enhanced Delivery Management System (C# Implementation),# Enhanced Delivery Management System (C# Implementation) ## Problem Description Implement an enhanced delivery management system in C# that tracks content deliveries with retry capabilities and comprehensive statistics. The system must handle concurrent deliveries while maintaining performance and providing delivery success rate insig...,demo,RUNTIME_ERROR,The build failed. Fix the build errors and run again.,"/data/codes/c#/719f64e7039f44078d343456d6e9709b/MyProject/Program.cs(172,34): error CS8180: { or ; or => expected [/data/codes/c#/719f64e7039f44078d343456d6e9709b/MyProject/MyProject.csproj] /data/...",,,,
AUD-012,# Distributed Message Handling System in Dart,"# Distributed Message Handling System in Dart ## Problem Description Implement a distributed message handling system in Dart that maintains logical or vector clock synchronization between nodes. The system should ensure proper message ordering, duplicate detection, and clock synchronization across distributed nodes. ## Class Requiremen...",demo,RUNTIME_ERROR,test.dart:215:55: Error: Can't find ')' to match '('. final destinationQueue = messageQueues.putIfAbsent( ^ test.dart:207:59: Error: Can't find '}' to match '{'. bool processIncomingMessage(TimeStampedMessage message) { ^ test.dart:190:33: Error: Can't find '}' to match '{'. class DistributedMessageHandler { ^ test.dart:203:24: Error: ...,,,,,
AUD-013,**Problem: Counting Integer Partitions**,"**Problem: Counting Integer Partitions** Write an Elixir function named `count_integer_partitions` that calculates the number of ways a given positive integer can be partitioned into a sum of positive integers, where the order of addends does not matter. For example, the integer 4 can be partitioned in 5 ways: - 4 - 3 + 1 - 2 + 2 - 2 +...",demo,RUNTIME_ERROR,** (ArgumentError) argument error (stdlib 7.3) array.erl:643: :array.set/3 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-8qk2u83n/test.ex:8: IntegerPartitions.count_integer_partitions/1 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-8qk2u83n/test.ex:29: IntegerPartitionsTest.run_demo_tests/0 /va...,Running demo tests...,,,,
AUD-014,**Problem: Minimum Refueling Stops**,**Problem: Minimum Refueling Stops** Write an Elixir function `min_refuel_stops/3` that calculates the minimum number of refueling stops required to reach a target destination. The car has an initial fuel amount and consumes fuel as it drives. Gas stations along the way can be used to refuel. **Input:** - `target`: An integer represent...,demo,RUNTIME_ERROR,** (ArgumentError) argument error (stdlib 7.3) array.erl:643: :array.set/3 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-y64v60mq/test.ex:108: Solution.swap/3 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-y64v60mq/test.ex:70: Solution.bubble_up/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T...,Running demo tests...,,,,
AUD-015,**Ball Game Simulation**,**Ball Game Simulation** You are tasked with writing an Elixir function called `simulate_ball_game` that calculates the total number of throws in a ball game based on three input parameters. The function should return the total throws according to specific game rules. **Function Specification:** - **Function Name:** `simulate_ball_game...,demo,RUNTIME_ERROR,"error: undefined variable ""l"" │ 16 │ step = if rem(received, 2) == 1, do: l, else: -l │ ^ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-67bgmkd2/test.ex:16:54: BallGame.play/6 error: undefined variable ""l"" │ 16 │ step = if rem(received, 2) == 1, do: l, else: -l │ ^ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63c...",,,,,
AUD-016,**Problem: Calculate the Diameter of a Binary Tree**,**Problem: Calculate the Diameter of a Binary Tree** Write an Elixir function that calculates the diameter of a binary tree. The diameter of a binary tree is the length of the longest path between any two nodes in the tree. This path may or may not pass through the root. The length of a path is measured by the number of edges between t...,demo,RUNTIME_ERROR,"error: Solution.TreeNode.__struct__/1 is undefined, cannot expand struct Solution.TreeNode. Make sure the struct name is correct. If the struct name exists and is correct but it still cannot be found, you likely have cyclic module usage in your code │ 34 │ left: %Solution.TreeNode{}, │ ^ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw...",,,,,
AUD-017,**Elixir GUI Layout Configuration**,"**Elixir GUI Layout Configuration** Create an Elixir function named `create_notebook_layout/0` that generates a specific GUI layout configuration as a nested map. The layout should represent a frame containing a notebook with multiple pages, each having specific controls and sizers. **Function Requirements:** - The function must return...",full,RUNTIME_ERROR,"** (ExUnit.AssertionError) Assertion with == failed code: assert hd(panel1[""controls""])[""type""] == ""TextCtrl"" left: ""button"" right: ""TextCtrl"" (ex_unit 1.19.5) lib/ex_unit/assertions.ex:461: ExUnit.Assertions.assert/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-3dfke8mt/test.ex:83: SolutionTest.test/0 /var/folder...",,,,,
AUD-018,**Problem: Find Modes in a Binary Search Tree**,"**Problem: Find Modes in a Binary Search Tree** You are given a binary search tree (BST) where each node contains an integer value. Your task is to write an Elixir function that finds all the mode(s) in the BST. A mode is defined as the value that appears most frequently in the tree. If there are multiple modes, return them in any orde...",demo,RUNTIME_ERROR,"error: TreeNode.__struct__/1 is undefined, cannot expand struct TreeNode. Make sure the struct name is correct. If the struct name exists and is correct but it still cannot be found, you likely have cyclic module usage in your code │ 12 │ defp inorder(%TreeNode{left: left, val: val, right: right}, state) do │ ^ │ └─ /var/folders/nb/g0g...",,,,,
AUD-019,**Problem: Generate All Permutations of a String or List**,"**Problem: Generate All Permutations of a String or List** Write an Elixir function named `generate_permutations` that takes a string or a list as input and returns all possible permutations of its elements. The order of permutations in the output does not matter, but each permutation must be unique and represented as a string (if the ...",demo,RUNTIME_ERROR,warning: redefining module Permutations (current version defined in memory) │ 56 │ defmodule Permutations do │ ~~~~~~~~~~~~~~~~~~~~~~~~~ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-8xg9s4yz/test.ex:56: Permutations (module) ** (UndefinedFunctionError) function Solution.generate_permutations/1 is undefined (m...,,,,,
AUD-020,**Problem: Motor Parameter Validation**,"**Problem: Motor Parameter Validation** Write an Elixir function named `validate_motor_parameters` that checks if the given motor control parameters are valid. The function should validate the channel number, position, speed, and acceleration values against specific constraints. **Function Signature:** ```elixir def validate_motor_para...",full,RUNTIME_ERROR,"** (ExUnit.AssertionError) Assertion with == failed code: assert MotorValidator.validate_motor_parameters(10, 10, 100, 50, motor_ranges) == %{ result: false, errcode: -5, errmsg: ""Channel value should be 0-9"", data: nil } left: %{data: nil, result: false, errcode: -5, errmsg: ""Channel must be between 0 and 9""} right: %{data: nil, resul...",,,,,
AUD-021,**Problem: Create Maximum Number from Two Lists**,"**Problem: Create Maximum Number from Two Lists** You are given two lists of integers, `nums1` and `nums2`, and an integer `k`. Your task is to create the largest possible number of length `k` by selecting digits from `nums1` and `nums2`. The relative order of the digits in `nums1` and `nums2` must be preserved in the final number. **F...",demo,RUNTIME_ERROR,"** (FunctionClauseError) no function clause matching in Solution.drop_prefix/2 The following arguments were given to Solution.drop_prefix/2: # 1 {[5, 6], 2} # 2 2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-pdxmoald/test.ex:49: Solution.drop_prefix/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-eli...",Running demo tests...,,,,
AUD-022,**Programming Problem: Counting Special Subsets**,"**Programming Problem: Counting Special Subsets** **Language Specification:** You must implement your solution in Elixir. **Problem Description:** Given two non-negative integers `n` and `k`, write a function `count_subsets(n, k)` that calculates the number of special subsets where each subset contains elements in strictly increasing o...",full,RUNTIME_ERROR,"warning: Range.new/2 and first..last default to a step of -1 when last < first. Use Range.new(first, last, -1) or first..last//-1, or pass 1 if that was your intention /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-1n_c3a2u/test.ex:6: Solution.count_subsets/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-nati...",Running full tests...,,,,
AUD-023,**Programming Problem: Counting Chessboard Squares**,"**Programming Problem: Counting Chessboard Squares** Write an Elixir function named `calculate_chessboard_squares/2` that calculates the number of squares on a rectangular chessboard of given dimensions. A chessboard consists of squares of various sizes. For example, a 2x2 chessboard has 2 squares of size 1x1 and 1 square of size 2x2, ...",full,RUNTIME_ERROR,"** (ExUnit.AssertionError) Assertion with == failed code: assert Chessboard.calculate_chessboard_squares(1, 5) == 1 left: 3 right: 1 (ex_unit 1.19.5) lib/ex_unit/assertions.ex:461: ExUnit.Assertions.assert/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-i1ov9iiy/test.ex:16: ChessboardTest.run_full_tests/0 /var/fold...",Running full tests...,,,,
AUD-024,Elixir Programming Problem: Driver Information Lookup Service,"Elixir Programming Problem: Driver Information Lookup Service Implement an Elixir function called `serv_consulta_basica_condutor` that queries a driver information service and returns basic details about a driver. Input Format: The function should accept a single map parameter with the following structure: - A ""service"" key containing ...",demo,RUNTIME_ERROR,"** (UndefinedFunctionError) function DriverService.serv_consulta_basica_condutor/1 is undefined or private DriverService.serv_consulta_basica_condutor(%{""parameters"" => %{""cpf"" => 12345678901, ""numRegistro"" => 987654}, ""service"" => %{""canal"" => ""web"", ""token"" => ""abc123"", ""url"" => ""https://api.example.com""}}) /var/folders/nb/g0g3vxgd4x...",,,,,
AUD-025,**Elixir Programming Problem: Game State Analysis**,"**Elixir Programming Problem: Game State Analysis** Implement three functions to analyze and manipulate game states in a simple turn-based game: 1. `primitive(position)` - Determines if the current position is a losing state. 2. `generate_moves(position)` - Lists all possible moves from the current position. 3. `do_move(position, move)...",demo,RUNTIME_ERROR,warning: redefining module GameState (current version defined in memory) │ 24 │ defmodule GameState do │ ~~~~~~~~~~~~~~~~~~~~~~ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-39uyoz7_/test.ex:24: GameState (module) ** (UndefinedFunctionError) function Solution.primitive/1 is undefined (module Solution is not av...,Running demo tests...,,,,
AUD-026,**Problem Description:**,**Problem Description:** You are given a list of integers representing positions on a number line and an integer representing the length of a tape segment. Your task is to determine the minimum number of tape segments needed to cover all the given positions. Each tape segment has a fixed length and can cover a continuous range of posit...,full,RUNTIME_ERROR,"** (ExUnit.AssertionError) Assertion with == failed code: assert Solution.min_tape_segments([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 1) == 10 left: 5 right: 10 (ex_unit 1.19.5) lib/ex_unit/assertions.ex:461: ExUnit.Assertions.assert/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-grkjz0s2/test.ex:33: SolutionTest.run_full_...",Running full tests...,,,,
AUD-027,**Problem: Extract Personal Information from Text**,"**Problem: Extract Personal Information from Text** Write an Elixir function named `extract_personal_info` that processes a multi-line text string containing personal information and extracts specific details into a structured map. The text may contain information in any order, and some details may be missing. **Input Format:** - The i...",demo,RUNTIME_ERROR,"** (SyntaxError) invalid syntax found on /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-1yaj101t/test.ex:82:20: error: invalid sigil delimiter: ""#"" (column 22, code point U+0023). The available delimiters are: //, ||, """", '', (), [], {}, <> │ 82 │ case Regex.run(~r#(https://github\.com/\S+)#u, line, capture: :all_bu...",,,,,
AUD-028,**Problem: Flip Lights**,"**Problem: Flip Lights** You are given `n` lights arranged in a row, initially all turned off. There are four possible operations you can perform any number of times: 1. Flip all the lights (turn on becomes off, and off becomes on). 2. Flip every second light (lights at positions 2, 4, 6, ...). 3. Flip every third light (lights at posi...",full,RUNTIME_ERROR,"** (ExUnit.AssertionError) Assertion with == failed code: assert Solution.flip_lights(2, 1) == 3 left: 4 right: 3 (ex_unit 1.19.5) lib/ex_unit/assertions.ex:461: ExUnit.Assertions.assert/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-4xdsked7/test.ex:52: SolutionTest.run_full_tests/0 /var/folders/nb/g0g3vxgd4xn1ch...",Running full tests...,,,,
AUD-029,**Problem: Construct Binary Tree from Inorder and Postorder Traversals**,**Problem: Construct Binary Tree from Inorder and Postorder Traversals** You are given two lists of integers representing the **inorder** and **postorder** traversals of a binary tree. Your task is to reconstruct the binary tree and return its root node. ### Requirements: - Implement the solution in **Elixir**. - The function must be n...,demo,RUNTIME_ERROR,"error: TreeNode.__struct__/1 is undefined, cannot expand struct TreeNode. Make sure the struct name is correct. If the struct name exists and is correct but it still cannot be found, you likely have cyclic module usage in your code │ 42 │ {%TreeNode{val: value, left: left, right: right}, post_idx, positions} │ ^ │ └─ /var/folders/nb/g0...",,,,,
AUD-030,**Problem: Counting Ways to Decode a Message**,**Problem: Counting Ways to Decode a Message** Write an Elixir function named `count_decoding_ways` that takes a string of digits and returns the number of ways it can be decoded into letters according to the following mapping: - 'A' → '1' - 'B' → '2' - ... - 'Z' → '26' **Input:** - A string `s` consisting of digits ('0'-'9'). The stri...,demo,RUNTIME_ERROR,"** (MatchError) no match of right hand side value: {1, 2, 50} /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-jd94w9k6/test.ex:10: Solution.count_decoding_ways/1 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-jd94w9k6/test.ex:40: SolutionTest.run_demo_tests/0 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m6...",Running demo tests...,,,,
AUD-031,**Programming Problem: Overlap Calculation**,"**Programming Problem: Overlap Calculation** Write an Elixir function named `calculate_overlap` that determines the overlap between two lists of integers. The function should return a specific integer value based on the comparison of the two input lists. **Input Format:** - The function takes two arguments, both of which are lists of i...",full,RUNTIME_ERROR,"** (ExUnit.AssertionError) Assertion with == failed code: assert Solution.calculate_overlap([10, 20, 30], [15, 25, 35]) == 0 left: 2 right: 0 (ex_unit 1.19.5) lib/ex_unit/assertions.ex:461: ExUnit.Assertions.assert/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-nojpl74j/test.ex:28: FullTest.run/0 /var/folders/nb/g...",Running full tests...,,,,
AUD-032,**Problem: Postorder Traversal of an N-ary Tree in Elixir**,**Problem: Postorder Traversal of an N-ary Tree in Elixir** Implement a function in Elixir that performs a postorder traversal on an N-ary tree and returns the values of the nodes in the order they are visited. **Function to Implement:** ```elixir defmodule Solution do def postorder_traversal(root) do # Your implementation here end end...,demo,RUNTIME_ERROR,"warning: redefining module Node (current version loaded from /opt/homebrew/Cellar/elixir/1.19.5/lib/elixir/lib/elixir/ebin/Elixir.Node.beam) │ 1 │ defmodule Node do │ ~~~~~~~~~~~~~~~~~ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-0tdqxv60/test.ex:1: Node (module) error: Node.__struct__/1 is undefined, cannot ...",,,,,
AUD-033,**Problem: Merge Two Sorted Linked Lists**,**Problem: Merge Two Sorted Linked Lists** You are given two singly linked lists that are already sorted in non-decreasing order. Your task is to merge these two lists into one sorted linked list that combines all elements from both lists in non-decreasing order. **Requirements:** - Implement the solution in Elixir. - The merged list s...,demo,RUNTIME_ERROR,"error: ListNode.__struct__/1 is undefined, cannot expand struct ListNode. Make sure the struct name is correct. If the struct name exists and is correct but it still cannot be found, you likely have cyclic module usage in your code │ 8 │ defp merge(%ListNode{val: v1, next: n1} = l1, %ListNode{val: v2, next: n2} = l2) do │ ^ │ └─ /var/f...",,,,,
AUD-034,**Elixir Programming Problem: Port Scanner**,"**Elixir Programming Problem: Port Scanner** Write an Elixir function named `scan_ports` that checks the status of specified ports on a given host. The function should determine which ports are open or closed, though the exact implementation details are left to you. **Function Specification:** - **Function Name:** `scan_ports` - **Inpu...",demo,RUNTIME_ERROR,warning: redefining module PortScanner (current version defined in memory) │ 6 │ defmodule PortScanner do │ ~~~~~~~~~~~~~~~~~~~~~~~~ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-d_ziyc89/test.ex:6: PortScanner (module) ** (UndefinedFunctionError) function Solution.scan_ports/2 is undefined (module Solution is...,Running demo tests...,,,,
AUD-035,**Problem: Operation Distribution**,**Problem: Operation Distribution** You are tasked with writing an Elixir function called `distribute_operations` that calculates the total number of operations performed based on a given number of elements and a list of values. **Function Specification:** - **Function Name:** `distribute_operations` - **Input Parameters:** - `n` (inte...,full,RUNTIME_ERROR,"** (ExUnit.AssertionError) Assertion with == failed code: assert Solution.distribute_operations(1, ~c""\n"") == 10 left: 9 right: 10 (ex_unit 1.19.5) lib/ex_unit/assertions.ex:461: ExUnit.Assertions.assert/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-e0q7w607/test.ex:17: SolutionTest.run_full_tests/0 /var/folders/...",Running full tests...,,,,
AUD-036,**Chess Move Validator in Elixir**,"**Chess Move Validator in Elixir** Implement an Elixir module to validate chess moves according to basic rules. Your solution must include the following: 1. A `Piece` struct representing a chess piece with its position, type, and color. 2. A `Board` struct representing a chess board that can place pieces. 3. A `validate_move/4` functio...",demo,RUNTIME_ERROR,"error: Piece.__struct__/1 is undefined, cannot expand struct Piece. Make sure the struct name is correct. If the struct name exists and is correct but it still cannot be found, you likely have cyclic module usage in your code │ 16 │ def place(%__MODULE__{pieces: pieces} = board, %Piece{position: position} = piece) do │ ^ │ └─ /var/fold...",,,,,
AUD-037,**Programming Problem: Symbolic Differentiation**,"**Programming Problem: Symbolic Differentiation** Implement an Elixir function named `symbolic_differentiation` that takes a mathematical expression as a string and returns its derivative with respect to `x` as a string. The function should handle basic arithmetic operations, exponentials, trigonometric functions, logarithms, and squar...",demo,RUNTIME_ERROR,"** (UndefinedFunctionError) function SymbolicDifferentiation.symbolic_differentiation/1 is undefined or private SymbolicDifferentiation.symbolic_differentiation(""exp(2*x) + x**3 + 3"") /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-nwc3w5ea/test.ex:17: SymbolicDifferentiationTest.test_case/2 /var/folders/nb/g0g3vxgd4...",Running demo tests...,,,,
AUD-038,# Binary Tree Analysis Problem,"# Binary Tree Analysis Problem ## Problem Description Implement a class `TreeAnalyzer` that performs comprehensive analysis on a binary tree, calculating: 1. Maximum ancestor difference (max difference between any ancestor and descendant values in any path) 2. Minimum ancestor difference (min difference between any ancestor and descend...",demo,COMPILATION_ERROR,"test.java:9: error: cannot find symbol public Map<String, Integer> analyzeTree(TreeNode root) { ^ symbol: class TreeNode location: class TreeAnalyzer test.java:57: error: cannot find symbol TreeNode node; ^ symbol: class TreeNode location: class State test.java:61: error: cannot find symbol State(TreeNode node, int pathMin, int pathMax...",,,,,
AUD-039,# User Management System,# User Management System Implement a `UserManager` class that manages user accounts with the following capabilities: - Create new users with unique usernames and emails - Update existing user information while maintaining uniqueness - Deactivate user accounts - Retrieve active users and find users by ID ## Class Requirements ### UserMa...,full,COMPILATION_ERROR,"test.java:220: error: cannot find symbol .collect(Collectors.joining("", ""))); ^ symbol: variable Collectors location: class TestUserManager 1 error",,,,,
AUD-040,Write a JavaScript function `spellInfoManager` that manages the state of spell information. The function should handle different action types and update the state object accordingly based on the action.,Write a JavaScript function `spellInfoManager` that manages the state of spell information. The function should handle different action types and update the state object accordingly based on the action. Function specifications: - Accepts two parameters: the current state object (can be null) and an action object - Returns a new state o...,full,RUNTIME_ERROR,"node:assert:125 throw new AssertionError(obj); ^ AssertionError [ERR_ASSERTION]: Expected values to be strictly deep-equal: + actual - expected { characterSpells: [], fetching: true, + spell: null, spellList: [] } at fullTesting (/data/codes/javascript/14b25c78d30843da9f6db451fc8fadd8/test.js:95:12) at Object.<anonymous> (/data/codes/j...",,,,,
AUD-041,**Programming Problem: Triangular Number Partition Construction**,"**Programming Problem: Triangular Number Partition Construction** Write a Julia function called `construct_partition` that determines whether a given positive integer `n` is a triangular number and, if so, constructs a specific partition of the set `{1, 2, ..., n}`. A triangular number is a number that can be expressed as the sum of th...",demo,RUNTIME_ERROR,"ERROR: LoadError: AssertionError: partitions2 == [[1, 2], [2, 3], [1, 3]] Stacktrace: [1] test() @ Main /data/codes/julia/d3813f61e8e245c1ae8a2f5a5592592e/test.jl:42 [2] top-level scope @ /data/codes/julia/d3813f61e8e245c1ae8a2f5a5592592e/test.jl:46 in expression starting at /data/codes/julia/d3813f61e8e245c1ae8a2f5a5592592e/test.jl:46",,,,,
AUD-042,**Perl Problem: Directory Monitoring Utility**,**Perl Problem: Directory Monitoring Utility** Create a Perl script that implements two functions to monitor directories and execute actions when changes are detected. The solution must be implemented in Perl and must pass all provided test cases. **Problem Description:** Implement two functions: 1. `parse_monitor_args`: Processes comm...,full,RUNTIME_ERROR,parse_monitor_args tests failed at test.pl line 59.,,,,,
AUD-043,Write a Perl script that implements two functions to help generate notifications for a monitoring system:,Write a Perl script that implements two functions to help generate notifications for a monitoring system: 1. `get_notification_color` - Determines the appropriate color for a notification based on severity or title patterns. 2. `construct_webhook_payload` - Constructs a JSON payload for a webhook notification with the specified paramet...,demo,RUNTIME_ERROR,Test Case 1 payload mismatch at test.pl line 91.,,,,,
