audit_id,index,language,title,first_failure_stage,first_failure_outcome,failure_category_auto,runtime_subtype_auto,stderr_excerpt
AUD-011,1316,csharp,# Enhanced Delivery Management System (C# Implementation),demo,RUNTIME_ERROR,runtime,other_runtime,The build failed. Fix the build errors and run again.
AUD-012,1462,dart,# Distributed Message Handling System in Dart,demo,RUNTIME_ERROR,runtime,assertion_test_abort,test.dart:215:55: Error: Can't find ')' to match '('. final destinationQueue = messageQueues.putIfAbsent( ^ test.dart:207:59: Error: Can't find '}' to match '{'. bool processIncomingMessage(TimeStampedMessage message) { ^ test.dart:190:33: Error: Can't find '}' to match '{'. class DistributedMessageHandler { ^ test.dart:203:24: Error: ...
AUD-013,11,elixir,**Problem: Counting Integer Partitions**,demo,RUNTIME_ERROR,runtime,language_exception,** (ArgumentError) argument error (stdlib 7.3) array.erl:643: :array.set/3 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-8qk2u83n/test.ex:8: IntegerPartitions.count_integer_partitions/1 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-8qk2u83n/test.ex:29: IntegerPartitionsTest.run_demo_tests/0 /va...
AUD-014,25,elixir,**Problem: Minimum Refueling Stops**,demo,RUNTIME_ERROR,runtime,language_exception,** (ArgumentError) argument error (stdlib 7.3) array.erl:643: :array.set/3 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-y64v60mq/test.ex:108: Solution.swap/3 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-y64v60mq/test.ex:70: Solution.bubble_up/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T...
AUD-015,35,elixir,**Ball Game Simulation**,demo,RUNTIME_ERROR,runtime,other_runtime,"error: undefined variable ""l"" │ 16 │ step = if rem(received, 2) == 1, do: l, else: -l │ ^ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-67bgmkd2/test.ex:16:54: BallGame.play/6 error: undefined variable ""l"" │ 16 │ step = if rem(received, 2) == 1, do: l, else: -l │ ^ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63c..."
AUD-016,40,elixir,**Problem: Calculate the Diameter of a Binary Tree**,demo,RUNTIME_ERROR,runtime,other_runtime,"error: Solution.TreeNode.__struct__/1 is undefined, cannot expand struct Solution.TreeNode. Make sure the struct name is correct. If the struct name exists and is correct but it still cannot be found, you likely have cyclic module usage in your code │ 34 │ left: %Solution.TreeNode{}, │ ^ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw..."
AUD-017,51,elixir,**Elixir GUI Layout Configuration**,full,RUNTIME_ERROR,runtime,assertion_test_abort,"** (ExUnit.AssertionError) Assertion with == failed code: assert hd(panel1[""controls""])[""type""] == ""TextCtrl"" left: ""button"" right: ""TextCtrl"" (ex_unit 1.19.5) lib/ex_unit/assertions.ex:461: ExUnit.Assertions.assert/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-3dfke8mt/test.ex:83: SolutionTest.test/0 /var/folder..."
AUD-018,56,elixir,**Problem: Find Modes in a Binary Search Tree**,demo,RUNTIME_ERROR,runtime,other_runtime,"error: TreeNode.__struct__/1 is undefined, cannot expand struct TreeNode. Make sure the struct name is correct. If the struct name exists and is correct but it still cannot be found, you likely have cyclic module usage in your code │ 12 │ defp inorder(%TreeNode{left: left, val: val, right: right}, state) do │ ^ │ └─ /var/folders/nb/g0g..."
AUD-019,65,elixir,**Problem: Generate All Permutations of a String or List**,demo,RUNTIME_ERROR,runtime,other_runtime,warning: redefining module Permutations (current version defined in memory) │ 56 │ defmodule Permutations do │ ~~~~~~~~~~~~~~~~~~~~~~~~~ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-8xg9s4yz/test.ex:56: Permutations (module) ** (UndefinedFunctionError) function Solution.generate_permutations/1 is undefined (m...
AUD-020,70,elixir,**Problem: Motor Parameter Validation**,full,RUNTIME_ERROR,runtime,assertion_test_abort,"** (ExUnit.AssertionError) Assertion with == failed code: assert MotorValidator.validate_motor_parameters(10, 10, 100, 50, motor_ranges) == %{ result: false, errcode: -5, errmsg: ""Channel value should be 0-9"", data: nil } left: %{data: nil, result: false, errcode: -5, errmsg: ""Channel must be between 0 and 9""} right: %{data: nil, resul..."
AUD-021,81,elixir,**Problem: Create Maximum Number from Two Lists**,demo,RUNTIME_ERROR,runtime,other_runtime,"** (FunctionClauseError) no function clause matching in Solution.drop_prefix/2 The following arguments were given to Solution.drop_prefix/2: # 1 {[5, 6], 2} # 2 2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-pdxmoald/test.ex:49: Solution.drop_prefix/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-eli..."
AUD-022,94,elixir,**Programming Problem: Counting Special Subsets**,full,RUNTIME_ERROR,runtime,other_runtime,"warning: Range.new/2 and first..last default to a step of -1 when last < first. Use Range.new(first, last, -1) or first..last//-1, or pass 1 if that was your intention /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-1n_c3a2u/test.ex:6: Solution.count_subsets/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-nati..."
AUD-023,99,elixir,**Programming Problem: Counting Chessboard Squares**,full,RUNTIME_ERROR,runtime,assertion_test_abort,"** (ExUnit.AssertionError) Assertion with == failed code: assert Chessboard.calculate_chessboard_squares(1, 5) == 1 left: 3 right: 1 (ex_unit 1.19.5) lib/ex_unit/assertions.ex:461: ExUnit.Assertions.assert/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-i1ov9iiy/test.ex:16: ChessboardTest.run_full_tests/0 /var/fold..."
AUD-024,105,elixir,Elixir Programming Problem: Driver Information Lookup Service,demo,RUNTIME_ERROR,runtime,other_runtime,"** (UndefinedFunctionError) function DriverService.serv_consulta_basica_condutor/1 is undefined or private DriverService.serv_consulta_basica_condutor(%{""parameters"" => %{""cpf"" => 12345678901, ""numRegistro"" => 987654}, ""service"" => %{""canal"" => ""web"", ""token"" => ""abc123"", ""url"" => ""https://api.example.com""}}) /var/folders/nb/g0g3vxgd4x..."
AUD-025,109,elixir,**Elixir Programming Problem: Game State Analysis**,demo,RUNTIME_ERROR,runtime,other_runtime,warning: redefining module GameState (current version defined in memory) │ 24 │ defmodule GameState do │ ~~~~~~~~~~~~~~~~~~~~~~ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-39uyoz7_/test.ex:24: GameState (module) ** (UndefinedFunctionError) function Solution.primitive/1 is undefined (module Solution is not av...
AUD-026,110,elixir,**Problem Description:**,full,RUNTIME_ERROR,runtime,assertion_test_abort,"** (ExUnit.AssertionError) Assertion with == failed code: assert Solution.min_tape_segments([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 1) == 10 left: 5 right: 10 (ex_unit 1.19.5) lib/ex_unit/assertions.ex:461: ExUnit.Assertions.assert/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-grkjz0s2/test.ex:33: SolutionTest.run_full_..."
AUD-027,113,elixir,**Problem: Extract Personal Information from Text**,demo,RUNTIME_ERROR,runtime,other_runtime,"** (SyntaxError) invalid syntax found on /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-1yaj101t/test.ex:82:20: error: invalid sigil delimiter: ""#"" (column 22, code point U+0023). The available delimiters are: //, ||, """", '', (), [], {}, <> │ 82 │ case Regex.run(~r#(https://github\.com/\S+)#u, line, capture: :all_bu..."
AUD-028,125,elixir,**Problem: Flip Lights**,full,RUNTIME_ERROR,runtime,assertion_test_abort,"** (ExUnit.AssertionError) Assertion with == failed code: assert Solution.flip_lights(2, 1) == 3 left: 4 right: 3 (ex_unit 1.19.5) lib/ex_unit/assertions.ex:461: ExUnit.Assertions.assert/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-4xdsked7/test.ex:52: SolutionTest.run_full_tests/0 /var/folders/nb/g0g3vxgd4xn1ch..."
AUD-029,141,elixir,**Problem: Construct Binary Tree from Inorder and Postorder Traversals**,demo,RUNTIME_ERROR,runtime,other_runtime,"error: TreeNode.__struct__/1 is undefined, cannot expand struct TreeNode. Make sure the struct name is correct. If the struct name exists and is correct but it still cannot be found, you likely have cyclic module usage in your code │ 42 │ {%TreeNode{val: value, left: left, right: right}, post_idx, positions} │ ^ │ └─ /var/folders/nb/g0..."
AUD-030,147,elixir,**Problem: Counting Ways to Decode a Message**,demo,RUNTIME_ERROR,runtime,other_runtime,"** (MatchError) no match of right hand side value: {1, 2, 50} /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-jd94w9k6/test.ex:10: Solution.count_decoding_ways/1 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-jd94w9k6/test.ex:40: SolutionTest.run_demo_tests/0 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m6..."
AUD-031,148,elixir,**Programming Problem: Overlap Calculation**,full,RUNTIME_ERROR,runtime,assertion_test_abort,"** (ExUnit.AssertionError) Assertion with == failed code: assert Solution.calculate_overlap([10, 20, 30], [15, 25, 35]) == 0 left: 2 right: 0 (ex_unit 1.19.5) lib/ex_unit/assertions.ex:461: ExUnit.Assertions.assert/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-nojpl74j/test.ex:28: FullTest.run/0 /var/folders/nb/g..."
AUD-032,166,elixir,**Problem: Postorder Traversal of an N-ary Tree in Elixir**,demo,RUNTIME_ERROR,runtime,other_runtime,"warning: redefining module Node (current version loaded from /opt/homebrew/Cellar/elixir/1.19.5/lib/elixir/lib/elixir/ebin/Elixir.Node.beam) │ 1 │ defmodule Node do │ ~~~~~~~~~~~~~~~~~ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-0tdqxv60/test.ex:1: Node (module) error: Node.__struct__/1 is undefined, cannot ..."
AUD-033,170,elixir,**Problem: Merge Two Sorted Linked Lists**,demo,RUNTIME_ERROR,runtime,other_runtime,"error: ListNode.__struct__/1 is undefined, cannot expand struct ListNode. Make sure the struct name is correct. If the struct name exists and is correct but it still cannot be found, you likely have cyclic module usage in your code │ 8 │ defp merge(%ListNode{val: v1, next: n1} = l1, %ListNode{val: v2, next: n2} = l2) do │ ^ │ └─ /var/f..."
AUD-034,175,elixir,**Elixir Programming Problem: Port Scanner**,demo,RUNTIME_ERROR,runtime,other_runtime,warning: redefining module PortScanner (current version defined in memory) │ 6 │ defmodule PortScanner do │ ~~~~~~~~~~~~~~~~~~~~~~~~ │ └─ /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-d_ziyc89/test.ex:6: PortScanner (module) ** (UndefinedFunctionError) function Solution.scan_ports/2 is undefined (module Solution is...
AUD-035,185,elixir,**Problem: Operation Distribution**,full,RUNTIME_ERROR,runtime,assertion_test_abort,"** (ExUnit.AssertionError) Assertion with == failed code: assert Solution.distribute_operations(1, ~c""\n"") == 10 left: 9 right: 10 (ex_unit 1.19.5) lib/ex_unit/assertions.ex:461: ExUnit.Assertions.assert/2 /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-e0q7w607/test.ex:17: SolutionTest.run_full_tests/0 /var/folders/..."
AUD-036,196,elixir,**Chess Move Validator in Elixir**,demo,RUNTIME_ERROR,runtime,other_runtime,"error: Piece.__struct__/1 is undefined, cannot expand struct Piece. Make sure the struct name is correct. If the struct name exists and is correct but it still cannot be found, you likely have cyclic module usage in your code │ 16 │ def place(%__MODULE__{pieces: pieces} = board, %Piece{position: position} = piece) do │ ^ │ └─ /var/fold..."
AUD-037,198,elixir,**Programming Problem: Symbolic Differentiation**,demo,RUNTIME_ERROR,runtime,other_runtime,"** (UndefinedFunctionError) function SymbolicDifferentiation.symbolic_differentiation/1 is undefined or private SymbolicDifferentiation.symbolic_differentiation(""exp(2*x) + x**3 + 3"") /var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-elixir-nwc3w5ea/test.ex:17: SymbolicDifferentiationTest.test_case/2 /var/folders/nb/g0g3vxgd4..."
AUD-038,447,java,# Binary Tree Analysis Problem,demo,COMPILATION_ERROR,compile,,"test.java:9: error: cannot find symbol public Map<String, Integer> analyzeTree(TreeNode root) { ^ symbol: class TreeNode location: class TreeAnalyzer test.java:57: error: cannot find symbol TreeNode node; ^ symbol: class TreeNode location: class State test.java:61: error: cannot find symbol State(TreeNode node, int pathMin, int pathMax..."
AUD-039,555,java,# User Management System,full,COMPILATION_ERROR,compile,,"test.java:220: error: cannot find symbol .collect(Collectors.joining("", ""))); ^ symbol: variable Collectors location: class TestUserManager 1 error"
AUD-040,612,javascript,Write a JavaScript function `spellInfoManager` that manages the state of spell information. The function should handle different action types and update the state object accordingly based on the action.,full,RUNTIME_ERROR,runtime,assertion_test_abort,"node:assert:125 throw new AssertionError(obj); ^ AssertionError [ERR_ASSERTION]: Expected values to be strictly deep-equal: + actual - expected { characterSpells: [], fetching: true, + spell: null, spellList: [] } at fullTesting (/data/codes/javascript/14b25c78d30843da9f6db451fc8fadd8/test.js:95:12) at Object.<anonymous> (/data/codes/j..."
AUD-041,1910,julia,**Programming Problem: Triangular Number Partition Construction**,demo,RUNTIME_ERROR,runtime,assertion_test_abort,"ERROR: LoadError: AssertionError: partitions2 == [[1, 2], [2, 3], [1, 3]] Stacktrace: [1] test() @ Main /data/codes/julia/d3813f61e8e245c1ae8a2f5a5592592e/test.jl:42 [2] top-level scope @ /data/codes/julia/d3813f61e8e245c1ae8a2f5a5592592e/test.jl:46 in expression starting at /data/codes/julia/d3813f61e8e245c1ae8a2f5a5592592e/test.jl:46"
AUD-042,2227,perl,**Perl Problem: Directory Monitoring Utility**,full,RUNTIME_ERROR,runtime,other_runtime,parse_monitor_args tests failed at test.pl line 59.
AUD-043,2262,perl,Write a Perl script that implements two functions to help generate notifications for a monitoring system:,demo,RUNTIME_ERROR,runtime,assertion_test_abort,Test Case 1 payload mismatch at test.pl line 91.
AUD-044,2398,php,Write a PHP function `parseChatMessages` that can parse an array of chat messages and convert each message into structured data.,demo,RUNTIME_ERROR,runtime,other_runtime,PHP Fatal error: Uncaught Error: Cannot use object of type stdClass as array in /data/codes/php/8cc9867a1208490ba06bdbc967e09b2e/test.php:95 Stack trace: #0 /data/codes/php/8cc9867a1208490ba06bdbc967e09b2e/test.php(123): testParseChatMessages() #1 {main} thrown in /data/codes/php/8cc9867a1208490ba06bdbc967e09b2e/test.php on line 95
AUD-045,2414,php,Implement a TaskManager class in PHP that manages a collection of tasks with the following functionality:,demo,RUNTIME_ERROR,runtime,assertion_test_abort,"PHP Warning: Undefined array key ""remainingTasks"" in /data/codes/php/5743f94c48e44c399b9ea2e050826e48/test.php on line 173 PHP Fatal error: Uncaught AssertionError: assert($result2['remainingTasks'] === 0) in /data/codes/php/5743f94c48e44c399b9ea2e050826e48/test.php:173 Stack trace: #0 /data/codes/php/5743f94c48e44c399b9ea2e050826e48/t..."
AUD-046,898,python,**HTML Element Extractor**,demo,RUNTIME_ERROR,runtime,other_runtime,"File ""/data/codes/python/7d331f48470f4b2bb4a5b7a747ee1bd0/test.py"", line 98 if tag == ^ SyntaxError: invalid syntax"
AUD-047,2746,r,**Problem: Format Text with Typographic Conventions**,demo,RUNTIME_ERROR,runtime,assertion_test_abort,"Error: unexpected symbol in: "" demo_test"" Execution halted"
AUD-048,126,racket,**String Manipulation Function in Racket**,demo,RUNTIME_ERROR,runtime,other_runtime,"Test 1 failed: #hash((alternating-case . HeLlO wOrLd) (reversed . dlroW olleH) (vowel-count . 3)) context...: body of ""/var/folders/nb/g0g3vxgd4xn1chrt_zx2m63cndw1wg/T/acb-native-racket-3rylt7wu/test.rkt"""
AUD-049,3406,scala,"Implement an Elasticsearch configuration manager in Scala that handles index configurations, including page sizes and mappings. The manager must:",demo,RUNTIME_ERROR,runtime,assertion_test_abort,Compiling /data/codes/scala/b7589530f312473983b8c37102ed3577/test.sc java.lang.AssertionError: assertion failed scala.runtime.Scala3RunTime$.assertFailed(Scala3RunTime.scala:11) ammonite.$file.test$.demo_test(test.sc:78) ammonite.$file.test$.<clinit>(test.sc:84)
AUD-050,3754,typescript,Implement a simple in-memory database class called SimulatedDB in TypeScript that supports the following operations:,demo,WRONG_ANSWER,wrong_answer,,Assertion failed: Test Case 1: Create operation failed Assertion failed: Test Case 1: Get operation failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice
AUD-051,3773,typescript,Write a TypeScript function `configureExpressServer` that configures an Express server and returns an object containing configuration information and a start method.,full,WRONG_ANSWER,wrong_answer,,Assertion failed: Test case 4 failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice
AUD-052,3776,typescript,Create a TypeScript module `areaUtils` that implements the following functionality:,demo,WRONG_ANSWER,wrong_answer,,Assertion failed: Test 2 failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice
AUD-053,3804,typescript,Create a TypeScript module `SymbolGenerator` that implements the following two functions:,demo,WRONG_ANSWER,wrong_answer,,"Assertion failed: Test 1 failed: expected ""$DB_"" got ""my$DB_module$DB_function"" npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice"
AUD-054,3806,typescript,Implement a MockRequestService class to simulate HTTP request services. The class should support the following methods:,demo,WRONG_ANSWER,wrong_answer,,Assertion failed: Test case 1 failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice
AUD-055,3809,typescript,"Implement a user authentication manager function in TypeScript that handles login, signup, and password change operations. The function should validate inputs and return appropriate success/error responses.",demo,WRONG_ANSWER,wrong_answer,,Assertion failed: Test case 1 failed Assertion failed: Test case 2 failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice
AUD-056,3826,typescript,"Write a TypeScript function `validateOTP` to validate a One-Time Password (OTP). The function should accept two parameters: a string `otp` and a number `expectedLength`, and return an object containing the validation results.",full,WRONG_ANSWER,wrong_answer,,Assertion failed Assertion failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice
AUD-057,3868,typescript,Write a TypeScript function `processFantasyActivity` that parses HTML content containing a list of fantasy sports league activities and returns processed activity information.,demo,WRONG_ANSWER,wrong_answer,,Assertion failed: Test case 1 failed Assertion failed: Test case 2 failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice
AUD-058,3876,typescript,Implement a simple document management system using TypeScript.,demo,WRONG_ANSWER,wrong_answer,,Assertion failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice
AUD-059,3880,typescript,Write a TypeScript class `ESColor` to represent RGB colors with the following functionality:,demo,WRONG_ANSWER,wrong_answer,,Assertion failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice
AUD-060,3881,typescript,Implement a Student Campus Management System in TypeScript.,full,WRONG_ANSWER,wrong_answer,,Assertion failed: Test case 4 failed npm notice npm notice New major version of npm available! 10.8.2 -> 11.11.0 npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.0 npm notice To update run: npm install -g npm@11.11.0 npm notice
