index,language,difficulty,success,docs_score,question_chars,headings,code_blocks,example_markers,has_constraints,has_notes,title
55,cpp,medium,1,36.3,5001,10,3,2,1,1,Multi-Cloud Computing (MCC) Message Handling System
56,cpp,medium,1,35.97,3401,9,3,2,1,1,Item-Based Collaborative Filtering System
57,cpp,hard,0,39.3,3847,8,9,2,1,1,Logger System Implementation
58,cpp,hard,1,38.5,4132,11,6,2,1,1,Steering Behaviors Implementation
59,cpp,medium,1,39.3,4858,15,9,2,1,1,Game Entity Management System
60,cpp,hard,1,33.06,3456,7,2,2,1,1,Wave Generator Simulation
61,cpp,easy,1,28.91,2769,7,1,2,1,1,Character Analysis Problem
62,cpp,easy,1,30.48,2507,7,1,3,1,1,Binary Number Operations
63,cpp,hard,1,33.11,3484,8,2,2,1,1,Problem: Tree Guess Analyzer
64,cpp,easy,1,37.78,3291,7,3,3,1,1,String Processing and Analysis
65,cpp,medium,0,33.3,4382,7,2,2,1,1,Texture Management System
66,cpp,easy,0,32.37,3044,7,2,2,1,1,Gaussian Blur Implementation
67,cpp,hard,0,36.3,3675,12,3,2,1,1,Robot Localization using Extended Kalman Filter
68,cpp,medium,0,39.3,3760,9,6,2,1,1,Robot PID Controller Simulation
69,cpp,hard,0,29.2,2938,9,1,2,1,1,String Analysis and Processing Problem
70,cpp,hard,1,32.26,2975,10,2,2,1,1,Sequence Analysis Problem
71,cpp,hard,0,33.22,2350,8,2,3,1,1,Problem: Search in Rotated Sorted Array with Duplicates
72,cpp,medium,0,35.78,3290,8,3,2,1,1,Wizarding Money Calculator
73,cpp,hard,0,35.23,2955,9,3,2,1,1,Text Processing Statistics
74,cpp,hard,0,41.1,3480,15,8,3,1,1,Problem: String Pattern Analyzer
75,cpp,hard,0,38.42,2471,9,3,4,1,1,String Matching and Similarity Problem
76,cpp,hard,0,33.3,3793,7,2,2,1,1,Position Operations in 2D Space
77,cpp,hard,0,33.57,3161,9,1,4,1,1,Permutation Statistics Generator
78,cpp,hard,0,38.68,3230,12,6,2,1,1,2D Platformer Physics Simulation
79,cpp,hard,0,39.3,3651,11,5,2,1,1,Smart Pointers and Resource Management Problem
80,cpp,hard,0,29.7,3242,0,2,7,1,1,<problem_title>CUDA Device Capability Checker</problem_title>
81,cpp,medium,1,30.3,3936,9,1,2,1,1,3D Line Segment Operations Problem
82,cpp,hard,1,38.3,5895,7,3,3,1,1,Error Message Generator System
83,cpp,hard,0,36.3,4676,8,3,2,1,1,Physics Simulation Problem
84,cpp,medium,1,38.59,3172,8,2,5,1,1,Grid Path Finder Problem
85,cpp,hard,0,39.3,4094,12,6,2,1,1,RPG Equipment and Enchantment System
86,cpp,easy,1,38.47,2500,10,3,4,1,1,String Analysis Problem
87,cpp,easy,1,28.19,2336,6,1,2,1,1,Binary Search Operations on Sorted Vectors
88,cpp,hard,0,39.3,5531,16,18,2,1,1,Stepper Motor Controller Simulation
89,cpp,hard,0,31.33,2418,7,2,2,1,1,String Analysis Problem
90,cpp,medium,1,33.06,2854,7,1,4,1,1,Number Analysis Tool
91,cpp,medium,1,43.3,3877,13,5,4,1,1,Multi-Dimensional Range Counting Problem
92,cpp,hard,1,31.09,2276,7,2,2,1,1,Comprehensive Statistics Calculator
93,cpp,hard,0,39.3,3862,12,5,2,1,1,Game Collision System Implementation
94,cpp,medium,0,35.3,4059,8,2,3,1,1,Union-Find Data Structure Implementation
95,cpp,medium,0,32.14,2906,11,2,2,1,1,Problem: String Analysis Metrics
96,cpp,medium,1,33.3,3711,8,2,2,1,1,3D Cone Modeling and Analysis
97,cpp,hard,0,33.3,3841,8,2,2,1,1,Progress Bar Visualization
98,cpp,hard,1,36.3,3732,11,3,2,1,1,Word Frequency Tracker using AVL Tree
99,cpp,hard,0,33.3,4486,8,2,2,1,1,Advanced Timer Implementation
100,cpp,easy,1,34.97,2803,8,3,2,1,1,Problem: Longest Common Substring Finder
101,cpp,medium,0,33.3,4109,8,2,2,1,1,Problem: Enhanced Virtual Machine Simulator
102,cpp,easy,1,31.9,2762,8,2,2,1,1,Alphabet Path Finder Problem
103,cpp,easy,1,39.3,4600,7,2,5,1,1,Atmospheric Calculations Problem
104,cpp,medium,1,31.38,2446,7,2,2,1,1,String Analysis Problem
105,cpp,hard,1,30.3,4085,14,1,2,1,1,Rational Number Operations
106,cpp,medium,1,39.3,3734,15,4,2,1,1,Binary Tree Analysis Problem
107,cpp,hard,0,40.3,3732,9,3,4,1,1,Hotel Stay Planner in Weighted Graphs
108,cpp,hard,0,36.3,4105,11,3,2,1,1,Game Character and World Simulation
109,cpp,hard,0,22.83,3017,0,1,4,1,0,<Problem Description>
110,cpp,medium,1,39.71,3244,9,3,4,1,1,Number Range Analyzer
111,cpp,hard,0,39.3,4463,10,4,2,1,1,3D Transformation and Camera Projection System
112,cpp,hard,0,33.16,3515,8,2,2,1,1,Constraint Satisfaction Problem Solver
113,cpp,hard,0,28.8,4667,8,1,2,1,0,Basketball Scoreboard System
114,cpp,hard,0,39.3,3966,10,4,2,1,1,3D Camera System Implementation
115,cpp,hard,0,39.3,3703,7,5,2,1,1,Sphere Mesh Generator
116,cpp,easy,1,30.96,2199,7,2,2,1,1,String Analysis Problem
117,cpp,easy,1,41.91,3367,8,3,5,1,1,Bit Manipulation Analyzer
118,cpp,hard,1,39.3,3740,10,4,2,1,1,Armor Class Implementation
119,cpp,easy,1,33.28,3587,7,2,2,1,1,Time Class Implementation
120,cpp,hard,1,39.3,3852,11,4,2,1,1,Burrows-Wheeler Transform Implementation
121,cpp,hard,1,36.62,2593,9,3,3,1,1,Largest Independent Set in Binary Trees
122,cpp,hard,1,36.3,3857,12,3,2,1,1,Friend Circles in Social Networks
123,cpp,hard,0,32.8,3303,8,2,2,1,1,Spatial Points Analysis Problem
124,cpp,easy,1,30.39,1853,9,2,2,1,1,Vector Mathematical Operations
125,cpp,hard,1,28.8,4578,9,1,2,1,0,Game Object Management System
126,cpp,hard,0,39.3,3837,11,5,2,1,1,Observer Pattern Implementation for News Distribution System
127,cpp,hard,1,30.22,2352,8,1,3,1,1,Problem: Quaternion String Splitting
128,cpp,medium,1,34.26,2377,9,3,2,1,1,String Processing Function
129,cpp,medium,1,34.84,2725,10,3,2,1,1,Maximum and Minimum Subarray Problem
130,cpp,hard,0,36.3,4231,7,3,2,1,1,Problem: Advanced Wall Height Construction
131,cpp,medium,0,33.3,3902,8,2,2,1,1,Quaternion Operations in 3D Space
132,cpp,hard,0,39.3,3621,14,8,2,1,1,Terrain Model Generation
133,cpp,easy,1,28.87,2739,7,1,2,1,1,Pattern Matching Problem
134,cpp,hard,1,31.46,2499,9,2,2,1,1,Stack Operations Processor
135,cpp,hard,0,38.3,3974,8,3,3,1,1,Programming Problem: Symbol Resolver for Performance Maps
136,cpp,hard,0,39.3,5681,16,7,2,1,1,Couple Matching and Happiness Calculation System
137,cpp,hard,0,33.3,3959,11,2,2,1,1,Binary Tree Spiral Traversal and Analysis
138,cpp,medium,1,33.3,4500,8,2,2,1,1,Problem: Graph Implementation and Algorithms
139,cpp,hard,0,31.7,2638,9,2,2,1,1,Name Greeting Generator
140,cpp,medium,1,38.97,3405,11,4,2,1,1,Flower Bloom Counter with Segment Tree
141,cpp,hard,0,38.07,2863,12,4,2,1,1,3D Player Movement Simulation
142,cpp,hard,1,39.1,3481,8,2,5,1,1,Ladder Game Problem
143,cpp,hard,0,28.3,5252,0,2,4,1,1,<problem_description>
144,cpp,hard,1,40.1,2878,9,6,3,1,1,String Pattern Matching Analyzer
145,cpp,hard,0,32.51,3126,8,2,2,1,1,GCD Calculator with Multiple Methods
146,cpp,hard,0,33.3,4411,8,2,2,1,1,Quaternion Rotation Operations
147,cpp,hard,0,39.3,3756,13,5,2,1,1,Planning System for Character Actions
148,cpp,hard,0,32.67,3221,7,2,2,1,1,Ghost Escape Analysis
149,cpp,hard,0,33.21,3546,9,2,2,1,1,Number Game Solver Problem
150,cpp,hard,0,22.3,4759,0,0,4,1,1,<problem_description>
151,cpp,hard,0,34.3,4099,0,4,4,1,1,<problem_description>
152,cpp,hard,0,35.04,3441,6,2,3,1,1,Pixel Color Manipulation
153,cpp,medium,1,39.91,2763,9,4,3,1,1,String Rotation Checker
154,cpp,hard,0,33.3,5127,14,2,2,1,1,3D Affine Transformations Matrix Problem
155,cpp,hard,0,31.61,2585,9,2,2,1,1,Character Sorting System
156,cpp,hard,0,33.01,2825,9,1,4,1,1,Animal Consumption Analysis Problem
157,cpp,hard,1,33.3,3904,12,2,2,1,1,TrieMap Implementation Problem
158,cpp,hard,1,32.55,3148,8,2,2,1,1,Binary Tree Lowest Common Ancestor (LCA) Finder
159,cpp,medium,1,31.57,2560,8,2,2,1,1,Longest Increasing Path in a Matrix
160,cpp,easy,1,35.05,2852,8,3,2,1,1,Series Generator and Analyzer
161,cpp,hard,0,34.65,2608,12,3,2,1,1,Binary Number Constraints Counter
162,cpp,hard,0,39.3,3875,12,5,2,1,1,Unit Sorting System
163,cpp,hard,0,30.3,3864,11,1,2,1,1,2D Game Entity System Implementation
164,cpp,medium,0,35.3,4235,8,2,3,1,1,Benchmarking Utility Class Implementation
165,cpp,medium,1,36.3,4087,10,3,2,1,1,2D Sprite Collision Detection System
166,cpp,hard,1,32.18,2929,9,2,2,1,1,Ribbon Cutting Statistics Problem
167,cpp,hard,1,31.85,2731,8,2,2,1,1,String Processing and Analysis
168,cpp,hard,1,39.3,3902,15,7,2,1,1,Student Classification and Ranking System
169,cpp,hard,1,29.32,3011,8,1,2,1,1,Problem: XOR Combination Solver
170,cpp,easy,0,36.3,4021,9,3,2,1,1,Session Management System
171,cpp,medium,1,29.04,2842,7,1,2,1,1,Problem: Digit Analysis of Multiples
172,cpp,medium,1,38.31,3006,11,4,2,1,1,Binary Tree Analysis Problem
173,cpp,medium,1,31.55,2549,8,2,2,1,1,Graph Analysis Problem
174,cpp,hard,1,35.3,3624,7,2,3,1,1,Segment Tree with Range Operations
175,cpp,hard,1,28.8,2701,8,1,2,1,1,River-Water Pair Processing System
176,cpp,hard,0,33.27,3583,9,2,2,1,1,Player Movement Simulator Problem
177,cpp,hard,0,34.52,3130,11,2,3,1,1,Bridge Crossing Optimization Problem
178,cpp,easy,1,35.84,3327,8,3,2,1,1,Sierpinski Tetrahedron Generator and Surface Area Calculator
179,cpp,hard,0,43.3,4180,12,5,4,1,1,Advanced Media Player System
180,cpp,easy,1,35.74,3265,7,3,2,1,1,Time Operations in C++
181,cpp,hard,0,45.3,4191,12,5,11,1,1,Palindrome Analysis Problem
182,cpp,hard,1,38.63,3200,7,7,2,1,1,String Analysis Utility
183,cpp,medium,1,32.34,3027,8,2,2,1,1,Adventure Game Inventory System
184,go,easy,1,10.17,824,0,2,1,0,0,"Write a Go function that converts a given string into the shortest possible palindrome. A palindrome is a string that reads the same forwards and backwards. The given string may already be a palindrome or not. If it is a palindrome, return the original string directly; if not, make it the shortest palindrome by adding the minimum number of characters to the front of the string."
185,cpp,hard,1,33.11,3487,7,2,2,1,1,Big Integer Implementation
186,go,medium,1,13.96,875,0,1,2,1,1,Write a Go function `ExecuteWithDefer` that takes two parameters:
187,go,medium,1,15.82,852,0,2,2,1,0,"Implement a Go function `Divide(dividend int, divisor int) int` that performs division of two integers and returns the quotient. The function must handle the following cases:"
188,go,medium,1,11.74,744,0,1,2,0,1,Write a Go function `FormatIP` that converts a 4-byte array into a dotted-decimal format IPv4 address string.
189,cpp,medium,1,33.3,3853,9,2,2,1,1,2D Mesh Triangle Generator
190,go,hard,0,14.7,903,0,2,2,1,0,"Write a Go function `SearchInsert` that takes a sorted integer array `nums` and a target value `target`, and returns the index of the target in the array. If the target does not exist in the array, return the index where it should be inserted to maintain the array's sorted order."
191,go,medium,1,13.5,1262,0,1,2,1,0,Write a Go function `RaceConditionSimulator` that simulates a simple race condition scenario. The function takes an integer parameter `iterations` representing the number of iterations and returns two values: a string describing the detected race condition state and an integer representing the final computation result.
192,go,hard,0,8.44,1042,0,0,1,0,1,Write a Go function to check if a given path exists.
193,go,hard,0,13.64,1287,0,0,2,1,1,Implement a message signing and verification system based on HMAC-SHA256. Write a program in Go that includes the following functionalities:
194,go,hard,1,15.84,1221,0,1,2,1,0,Please implement the following two functions in Go:
195,go,easy,0,12.03,1398,0,1,2,0,1,Write a Go function `MinIncrementForUnique` that takes an integer array as input and returns the minimum number of increment operations required to make all elements in the array unique.
196,go,hard,0,17.12,1153,0,2,2,1,0,Write a Go function to convert time between different time zones.
197,go,hard,0,14.72,973,0,2,2,0,1,Write a Go function `ValidateAddress` to verify whether a given string is a valid Bitcoin address.
198,go,medium,0,14.97,1244,0,1,3,0,1,"Write a Go function `GetLastUsableIP` that takes a CIDR-formatted IP address string as input and returns the last usable IP address within that network range (i.e., the address preceding the broadcast address). The function must support both IPv4 and IPv6 addresses."
199,go,hard,0,21.71,1449,0,1,4,1,1,Write a Go function `EvaluateString` that handles placeholder substitution in strings. The specific requirements are as follows:
200,go,hard,0,18.13,1757,0,2,2,1,0,Write a Go function `AuthMiddleware` to handle authorization token validation. The function needs to check the incoming authorization string and return the corresponding user information or an error message.
201,cpp,hard,0,34.82,2714,9,3,2,1,1,Wiggle Sequence Analysis
202,go,easy,0,12.39,1436,0,0,2,1,0,Implement a simple directed graph data structure using Go. The data structure should support the following functionalities:
203,go,hard,0,16.29,1792,0,1,2,1,1,"Implement a Go template processor capable of loading and executing text templates, with support for custom template functions."
204,go,hard,0,15.37,1420,0,1,2,1,0,Please implement a network endpoint parser in Go language. This parser should be able to extract address and port information from a string and provide comparison functionality.
205,go,hard,0,9.64,1462,0,0,3,0,0,Implement an LRU (Least Recently Used) cache data structure using the Go language. The cache should support the following operations:
206,go,hard,0,13.67,1542,0,0,2,1,1,Implement a thread-safe key-value registry system using the Go programming language.
207,go,medium,0,15.8,1502,0,1,2,1,1,Please implement a heap sort algorithm in Go that can sort integers. The specific requirements are as follows:
208,go,hard,1,14.64,1706,0,1,2,0,0,"Implement a management system for deuterium storage tanks, which requires writing a Go program to simulate the upgrade cost and capacity calculation of deuterium storage tanks."
209,go,hard,0,21.84,1767,0,1,7,1,1,"Implement a subtitle management system capable of filtering and grouping a collection of subtitles. Each subtitle contains three fields: Version, Language, and Link."
210,go,hard,0,20.35,1711,0,2,2,1,1,Write a Go function `IsPositiveDefinite` to determine whether a given real matrix is positive definite. A positive definite matrix is defined as a symmetric matrix where all eigenvalues are positive real numbers.
211,go,hard,0,12.57,1600,0,0,1,1,1,Write a Go function to load and parse a font data file. Implement a function named `LoadFontData` that takes a font filename as input and returns a `FontData` struct or an error.
212,go,medium,0,20.01,1924,0,2,2,1,0,Write a Go function `GitBranchManager` that generates corresponding Git commands based on different Git branch operations. The function needs to handle the following operations:
213,go,hard,0,22.23,1940,0,1,10,1,0,Write a Go function to parse an RSS feed and return a list of articles.
214,go,easy,1,10.45,1470,0,0,2,0,0,"Implement a simple grid game logic, requiring the implementation of two functions in Go:"
215,go,hard,0,16.6,1678,0,1,2,1,0,"Write a Go function `CalculatePagination` to compute pagination information. The function should take three parameters: the current page number, the number of items per page, and the total number of items. It should return five values:"
216,go,hard,1,12.22,1631,0,0,2,0,1,"Implement a stack data structure and its operations, requiring the following functionalities to be completed in Go:"
217,go,hard,0,16.66,1714,0,1,2,1,0,Implement a Go language template renderer that can generate rendered text based on given data and template strings. The specific requirements are as follows:
218,go,medium,1,5.0,603,0,0,1,0,0,Write a Go function to find the longest substring in a given string where each character in the substring must appear at least k times.
219,go,hard,1,17.14,1464,0,2,2,0,1,Write a Go function `MaskToString` that converts an 8-bit unsigned integer into a binary string representation of a specified length.
220,go,hard,0,13.45,1888,0,0,2,0,1,"Implement a log level manager in Go. The manager should be capable of setting and retrieving log levels, determining whether a log message of a certain level should be recorded, and converting between log levels and their string representations."
221,go,hard,0,14.85,1593,0,1,2,1,0,"Please implement a byte conversion tool `ByteConverter` in Go language, which should include the following functionalities:"
222,go,easy,0,18.54,1941,0,1,2,1,1,Implement a builder pattern system for creating components of different creatures.
223,go,hard,0,17.64,1645,0,1,2,1,1,Please implement a time iterator in Go that can generate subsequent time sequences based on a given start time and interval type.
224,go,hard,0,13.22,1992,0,0,1,1,1,Write a Go function to register a Grafana dashboard to Consul storage. The function must meet the following requirements:
225,go,hard,0,20.12,1809,0,2,2,1,1,"Write a Go function `RemoveLinesFromFile` that removes all lines containing a specific substring from a given text file. The function should modify the original file directly, rather than creating a new file."
226,go,easy,1,14.89,1853,0,1,2,1,0,Please implement a function `MapToStruct` in Go that maps an input of type `map[string]interface{}` to a struct pointer. The specific requirements are as follows:
227,go,hard,0,16.82,1813,0,1,2,1,0,"Implement the basic logic of a Tic-Tac-Toe game. Write the code in Go language, which should include the following functionalities:"
228,go,easy,1,21.88,2145,0,2,2,1,1,"Write a Go function `ConcurrencyManager` that takes a list of operation functions and a timeout duration, executes all operations concurrently, and waits for their completion within the timeout period."
229,go,hard,0,14.99,1853,0,0,2,1,1,Implement a struct representing a neural network node with the following functionalities:
230,go,hard,0,18.16,1719,0,1,2,1,1,Implement an HTTP Digest Authentication generator. You need to create a Go program that fulfills the following requirements:
231,go,easy,0,17.48,1187,0,2,2,1,1,"Write a Go function `ConstrainedSubsetSum` that takes an integer array `nums` and an integer `k`, and returns an integer."
232,go,easy,1,13.22,1810,0,1,2,0,0,Write a Go function to perform bitwise operations on an 8-bit unsigned integer. The function should be named `BitOperations` and take two parameters: a `uint8` number and a `uint8` bit position (0-7). The function should return a map containing the results of various bitwise operations and an error message string.
233,go,hard,0,20.24,2062,0,2,2,1,0,Please implement a function named `SliceAnalyzer` in Go that performs a series of operations on an integer slice and returns information about the modified slice.
234,go,easy,1,15.58,2087,0,1,2,0,1,Implement an iterator for a Binary Search Tree (BST) that accesses nodes in the order of in-order traversal.
235,go,medium,1,13.95,2192,0,0,2,0,1,Write a Go function `ValidateChainPropertiesUpdate` to validate the legality of a blockchain properties update operation. The function takes a parameter of type `VersionedChainPropertiesUpdateOperation` and returns a boolean value (indicating whether the validation passed) and a string (containing the validation result message).
236,go,easy,1,14.06,1955,0,0,2,1,0,Implement an LRU (Least Recently Used) cache mechanism using Go. The cache should support the following operations:
237,go,hard,1,15.47,1362,0,2,2,0,0,Write a Go function `DeepCopyMap` that implements the following functionality:
238,go,medium,1,13.21,1268,0,0,2,1,1,Write a Go program that implements a boolean processor capable of converting various types of inputs into their corresponding boolean values.
239,go,hard,0,20.94,2065,0,2,2,1,1,Implement an RSA Encryption Tool
240,go,hard,0,16.39,1496,0,2,1,1,1,Write a Go function `GenerateIdentifier` that generates a unique identifier based on a given seed string and a specified length. The identifier should be derived from the SHA-256 hash of the seed string and return the corresponding byte slice (truncated or extended) according to the requested length.
241,go,easy,1,7.7,779,0,0,1,1,0,Write a Go function to count the occurrences of a specific number in a sorted integer array.
242,go,hard,0,14.09,2034,0,0,2,1,1,Implement a Go function to simulate the handshake process of the SOCKS5 protocol.
243,go,easy,1,14.45,868,0,1,4,0,0,Write a Go function `HexToBase64` that converts a hexadecimal string to a Base64 encoded string.
244,go,hard,0,20.41,2466,0,0,6,0,1,Write a Go function `ParseURL` that parses a URL string and breaks it down into its components. The function should accept a string as input and return a map containing the parts of the URL along with a possible error.
245,go,medium,1,20.03,2236,0,0,6,0,1,Write a Go function `LoadDocument` that accepts variadic arguments and returns a `DocumentConfig` struct or an error. The function should configure document loading settings based on the input parameters.
246,go,medium,1,15.33,3020,0,0,1,1,1,Implement a simplified Raft consensus algorithm node that must fulfill the following two core functions:
247,go,hard,0,18.6,1981,0,1,2,1,1,Implement an event handler system using the Go language.
248,go,medium,1,11.9,1082,0,1,2,0,1,Please implement an insertion sort algorithm in Go language. Write a function named `InsertionSort` that takes an integer slice as input and returns a new slice sorted in ascending order.
249,go,hard,1,14.15,990,0,1,2,1,1,Write a Go function `Multiply` that performs multiplication of two non-negative integer strings and returns their product as a string.
250,go,medium,1,20.9,1439,0,1,4,1,1,Please implement the following two functions in Go:
251,go,hard,0,18.07,2560,0,1,2,1,0,Please implement a state machine function for the Raft consensus algorithm in Go. This function should return a new state and corresponding actions based on the current state and received events.
252,go,hard,0,18.36,2318,0,1,2,1,1,Please implement an encryption tool in Go that supports the AES-256-CFB encryption mode. The tool should be able to encrypt and decrypt data using a given password and initialization vector (IV).
253,go,easy,1,14.38,1605,0,1,2,0,1,"Write a Go function `DigitSumLimit` that takes three parameters: two integers `a` and `b`, and a boolean `compareToA`. The function should return two values: an integer and a string."
254,go,hard,0,10.72,1394,0,0,2,1,0,Please implement the following three network-related functions in Go:
255,go,medium,1,18.25,1291,0,1,4,0,1,"Write a Go function `NumMovesStonesII` that takes a slice of integers representing the positions of stones and returns a slice containing two integers. The first integer represents the minimum number of moves required to move all stones into consecutive positions, and the second integer represents the maximum number of moves."
256,go,hard,0,20.77,2682,0,0,4,1,1,Implement a simple user database management system using Go language. The system should support the following operations:
257,go,hard,0,14.96,995,0,1,2,0,1,Write a Go program to implement two functions: `Base10ToBase62` and `MapIndexes`.
258,go,hard,0,18.35,2428,0,0,3,1,1,"Write a Go function `ControlFlowDemo` that takes three integer parameters: `startValue`, `iterations`, and `switchCase`, and returns a map containing multiple key-value pairs and an error string."
259,go,hard,0,20.61,2587,0,0,4,1,1,Implement a simple database simulator capable of storing and retrieving file records and Pastebin records. The specific requirements are as follows:
260,go,hard,0,14.84,1162,0,1,2,1,1,"Write a Go function `NumOfArrays` that calculates the number of arrays satisfying specific conditions. Given three integers n, m, and k, the function should return the number of arrays that meet all the following conditions:"
261,go,medium,0,9.79,2332,0,0,1,0,1,Write a Go function `GetBestMove` that takes a `GameState` struct as input and returns a string representing the best direction for the snake to move.
262,go,hard,1,15.23,1579,0,1,2,1,0,Implement a Go language logger that can filter log messages based on the set log level. The logger must meet the following requirements:
263,go,medium,1,16.51,1264,0,2,2,1,0,Write a Go function `CocktailSort` that implements the Cocktail Sort algorithm (also known as bidirectional bubble sort). The function should be able to sort an integer slice in either ascending or descending order based on the provided parameter.
264,go,hard,1,14.74,1706,0,0,2,1,1,Implement a balanced binary search tree (AVL tree) data structure that supports insertion operations and in-order traversal.
265,go,hard,0,19.19,1732,0,2,2,1,1,"Write a Go function `CryptoDemo` that implements simple encryption and decryption functionality. The function takes a string input and two byte slices (a public key and a private key), and returns the encrypted string, the decrypted string, and any potential error."
266,go,hard,0,18.0,1620,0,1,3,0,1,Write a Go program to implement datetime formatting functionality. The program should include the following features:
267,go,medium,0,17.84,1526,0,1,2,1,1,Write a Go function to process person information with the following specific requirements:
268,go,hard,0,19.1,1858,0,2,2,1,0,Implement a Go function that simulates Git operations. Write a function named `GitOperation` that can handle basic Git commands and return corresponding results.
269,go,hard,0,15.96,1537,0,1,2,1,0,Write a Go function `ParseProxyTag` to parse a string containing special markers. The function needs to identify three cases:
270,go,hard,0,16.44,1885,0,1,2,0,1,Write a Go function `GetIPInfo` that takes a `*http.Request` object as a parameter and returns a map containing client IP-related information.
271,go,hard,1,16.15,1408,0,3,1,1,0,Write a Go function to calculate the maximum path sum in a binary tree.
272,go,hard,1,18.8,1142,0,1,4,0,1,Write a Go function `RemoveStones` that calculates the maximum number of stones that can be removed from a given layout of stones on a 2D plane.
